hex_id,geometry
239,"POLYGON ((103.8192225893185 1.453451036338751, 103.8201909831869 1.452891933878134, 103.8201909831869 1.451773728956901, 103.8192225893185 1.451214626496284, 103.8182541954501 1.451773728956901, 103.8182541954501 1.452891933878134, 103.8192225893185 1.453451036338751))"
240,"POLYGON ((103.8211593770554 1.453451036338751, 103.8221277709238 1.452891933878134, 103.8221277709238 1.451773728956901, 103.8211593770554 1.451214626496284, 103.8201909831869 1.451773728956901, 103.8201909831869 1.452891933878134, 103.8211593770554 1.453451036338751))"
241,"POLYGON ((103.8230961647922 1.453451036338751, 103.8240645586606 1.452891933878134, 103.8240645586606 1.451773728956901, 103.8230961647922 1.451214626496284, 103.8221277709238 1.451773728956901, 103.8221277709238 1.452891933878134, 103.8230961647922 1.453451036338751))"
254,"POLYGON ((103.8143806199764 1.451773728956901, 103.8153490138448 1.451214626496284, 103.8153490138448 1.45009642157505, 103.8143806199764 1.449537319114434, 103.813412226108 1.45009642157505, 103.813412226108 1.451214626496284, 103.8143806199764 1.451773728956901))"
255,"POLYGON ((103.8163174077132 1.451773728956901, 103.8172858015816 1.451214626496284, 103.8172858015816 1.45009642157505, 103.8163174077132 1.449537319114434, 103.8153490138448 1.45009642157505, 103.8153490138448 1.451214626496284, 103.8163174077132 1.451773728956901))"
256,"POLYGON ((103.8182541954501 1.451773728956901, 103.8192225893185 1.451214626496284, 103.8192225893185 1.45009642157505, 103.8182541954501 1.449537319114434, 103.8172858015817 1.45009642157505, 103.8172858015817 1.451214626496284, 103.8182541954501 1.451773728956901))"
257,"POLYGON ((103.8201909831869 1.451773728956901, 103.8211593770554 1.451214626496284, 103.8211593770554 1.45009642157505, 103.8201909831869 1.449537319114434, 103.8192225893185 1.45009642157505, 103.8192225893185 1.451214626496284, 103.8201909831869 1.451773728956901))"
258,"POLYGON ((103.8221277709238 1.451773728956901, 103.8230961647922 1.451214626496284, 103.8230961647922 1.45009642157505, 103.8221277709238 1.449537319114434, 103.8211593770554 1.45009642157505, 103.8211593770554 1.451214626496284, 103.8221277709238 1.451773728956901))"
259,"POLYGON ((103.8240645586606 1.451773728956901, 103.8250329525291 1.451214626496284, 103.8250329525291 1.45009642157505, 103.8240645586606 1.449537319114434, 103.8230961647922 1.45009642157505, 103.8230961647922 1.451214626496284, 103.8240645586606 1.451773728956901))"
260,"POLYGON ((103.8260013463975 1.451773728956901, 103.8269697402659 1.451214626496284, 103.8269697402659 1.45009642157505, 103.8260013463975 1.449537319114434, 103.8250329525291 1.45009642157505, 103.8250329525291 1.451214626496284, 103.8260013463975 1.451773728956901))"
