Name,Description,geometry
kml_48,CLEMENTI AVENUE 6,"LINESTRING Z (103.761323562016 1.33441315421435 0, 103.761822833771 1.33402433944412 0, 103.762286442691 1.33372525179554 0, 103.762643063577 1.33350392811636 0, 103.76349895483 1.33301941080911 0, 103.763712927044 1.33289379533534 0, 103.763920959431 1.33268443105444 0, 103.764033891941 1.3325169379208 0, 103.764128995662 1.33227167802491 0, 103.764170606333 1.3320982023075 0, 103.764176553717 1.33194266906634 0, 103.764158727113 1.33178713696234 0, 103.7641052412 1.33157178289116 0)"
kml_49,CLEMENTI AVENUE 6,"LINESTRING Z (103.763375360982 1.33299266523883 0, 103.763717718939 1.33270553856193 0, 103.763888900797 1.33249019177155 0, 103.763995890891 1.33226766430961 0, 103.764067222081 1.3320020645979 0, 103.7641052412 1.33157178289116 0)"
kml_50,CLEMENTI AVENUE 6,"LINESTRING Z (103.768784669307 1.33254440672156 0, 103.767871333224 1.33249720903449 0, 103.767171330029 1.33247019314304 0, 103.766571310617 1.33249017143601 0, 103.766399468047 1.33259075914522 0, 103.766285348904 1.33268407462427 0, 103.766164096162 1.33284199675713 0, 103.766109403557 1.3330145849736 0, 103.766072825639 1.33312832310756 0, 103.766068018806 1.33317823120352 0, 103.766041885016 1.33344955956082 0, 103.766003397189 1.3336135232999 0, 103.765926082229 1.33376289224736 0, 103.765814448441 1.33388840493283 0, 103.765675549702 1.33398241424542 0, 103.765429801421 1.33405720556444 0, 103.765257314028 1.33404172529306 0, 103.765022358016 1.33396365404787 0, 103.764820777313 1.33381302659992 0, 103.764685441824 1.33366186290006 0, 103.764579653094 1.33349584222946 0, 103.764464363998 1.33313377961087 0, 103.764357896614 1.33259025933153 0, 103.764275456956 1.33193901641824 0, 103.764081125006 1.3302137323818 0, 103.764054737881 1.33089564915981 0, 103.7641052412 1.33157178289116 0)"
kml_51,CLEMENTI ROAD,"LINESTRING Z (103.770263488906 1.30450774410722 0, 103.770669810334 1.30408009585349 0, 103.770763276403 1.30388916067736 0, 103.770788265249 1.30376838888504 0, 103.770828335057 1.3031465580809 0, 103.770809582958 1.30268697598424 0, 103.770860807315 1.30239185879214 0)"
kml_52,CLEMENTI ROAD,"LINESTRING Z (103.77174860427 1.30383378739068 0, 103.772087886706 1.30344089285925 0, 103.772151870948 1.3033043670738 0, 103.772168431269 1.30315023034696 0, 103.772139536191 1.30302394421521 0, 103.772043738051 1.30286298402479 0, 103.77190291661 1.30277193460608 0, 103.77171292891 1.30274087497345 0, 103.771554149581 1.30278006259024 0, 103.771418690638 1.30287490534954 0, 103.771336419616 1.30299315979163 0, 103.771304574397 1.3030979042787 0, 103.771200017138 1.30367636832607 0)"
kml_53,CLEMENTI ROAD,"LINESTRING Z (103.77102291663 1.30436371420284 0, 103.770250289731 1.30488585031441 0, 103.770179147267 1.30499668558754 0, 103.770147578964 1.30512780222647 0, 103.770153901584 1.30525386533134 0, 103.770193893005 1.30536919267511 0, 103.770286081746 1.30549023420465 0, 103.770430176556 1.30558607692967 0, 103.770622251821 1.30561511456258 0, 103.770752762916 1.30558216099413 0, 103.77091942933 1.3054556418952 0, 103.77120291592 1.3048824819023 0)"
kml_54,CLEMENTI ROAD,"LINESTRING Z (103.773784637577 1.30301943764902 0, 103.772495409113 1.30379548322687 0, 103.772026778826 1.30405516902658 0, 103.77180496597 1.30422387996586 0, 103.7716751081 1.30437172856524 0, 103.771576538136 1.30453401610504 0, 103.771399642874 1.30509696490173 0, 103.77118649761 1.30543453797766 0)"
kml_55,DAIRY FARM ROAD,"LINESTRING Z (103.77883571171 1.36897895788385 0, 103.779115707393 1.36587360835287 0, 103.779088945367 1.36559130512429 0, 103.778982055598 1.36541655064742 0, 103.778714877442 1.36524180426422 0)"
kml_56,DAIRY FARM ROAD,"LINESTRING Z (103.780397386091 1.3620019555824 0, 103.780144075611 1.36490566091992 0, 103.780050612908 1.36514764039925 0, 103.779836912738 1.36526863770909 0, 103.779649915893 1.36532241784616 0, 103.779409485377 1.36534931635407 0)"
kml_57,EAST COAST PARK SERVICE ROAD,"LINESTRING Z (103.892904594938 1.29552944481682 0, 103.893712267857 1.29555158431291 0, 103.893932542239 1.29555896496438 0, 103.89403812362 1.29551657215202 0, 103.894056703713 1.29540425779417 0, 103.894030225886 1.29534703930166 0)"
kml_58,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.771333641144 1.30710993514361 0, 103.7711363949 1.30670415105484 0, 103.771016488369 1.30633726197111 0, 103.770894902582 1.3061121699149 0, 103.770813681074 1.30600633194732 0, 103.770616165585 1.30584804517051 0, 103.770239566336 1.30568481241672 0)"
kml_59,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.770239566336 1.30568481241672 0, 103.769814031337 1.30552411239325 0, 103.769545370142 1.3054294584092 0, 103.769338219155 1.30543364936238 0, 103.769063292442 1.30555071677253 0, 103.768740782091 1.30571035405649 0)"
kml_60,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.76615773844 1.30775069238798 0, 103.76622138807 1.30771139224528 0, 103.766670046584 1.30725141212076 0)"
kml_61,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.764416861284 1.30720915237526 0, 103.764602666418 1.3071758090738 0, 103.764848020025 1.30724278759853 0, 103.765040516852 1.30733450082067 0, 103.765674503094 1.3077615190353 0, 103.765837594401 1.30780976314015 0, 103.766002361026 1.30780850690984 0, 103.76615773844 1.30775069238798 0)"
