,geometry
6566,"POLYGON ((103.911220006819 1.341071441754785, 103.9121884006874 1.340512339294168, 103.9121884006874 1.339394134372935, 103.911220006819 1.338835031912318, 103.9102516129506 1.339394134372935, 103.9102516129506 1.340512339294168, 103.911220006819 1.341071441754785))"
6567,"POLYGON ((103.9131567945558 1.341071441754785, 103.9141251884243 1.340512339294168, 103.9141251884243 1.339394134372935, 103.9131567945558 1.338835031912318, 103.9121884006874 1.339394134372935, 103.9121884006874 1.340512339294168, 103.9131567945558 1.341071441754785))"
6568,"POLYGON ((103.9150935822927 1.341071441754785, 103.9160619761611 1.340512339294168, 103.9160619761611 1.339394134372935, 103.9150935822927 1.338835031912318, 103.9141251884243 1.339394134372935, 103.9141251884243 1.340512339294168, 103.9150935822927 1.341071441754785))"
6569,"POLYGON ((103.9170303700296 1.341071441754785, 103.917998763898 1.340512339294168, 103.917998763898 1.339394134372935, 103.9170303700296 1.338835031912318, 103.9160619761611 1.339394134372935, 103.9160619761611 1.340512339294168, 103.9170303700296 1.341071441754785))"
6570,"POLYGON ((103.9189671577664 1.341071441754785, 103.9199355516348 1.340512339294168, 103.9199355516348 1.339394134372935, 103.9189671577664 1.338835031912318, 103.917998763898 1.339394134372935, 103.917998763898 1.340512339294168, 103.9189671577664 1.341071441754785))"
6571,"POLYGON ((103.9209039455033 1.341071441754785, 103.9218723393717 1.340512339294168, 103.9218723393717 1.339394134372935, 103.9209039455033 1.338835031912318, 103.9199355516348 1.339394134372935, 103.9199355516348 1.340512339294168, 103.9209039455033 1.341071441754785))"
6572,"POLYGON ((103.9228407332401 1.341071441754785, 103.9238091271085 1.340512339294168, 103.9238091271085 1.339394134372935, 103.9228407332401 1.338835031912318, 103.9218723393717 1.339394134372935, 103.9218723393717 1.340512339294168, 103.9228407332401 1.341071441754785))"
6573,"POLYGON ((103.924777520977 1.341071441754785, 103.9257459148454 1.340512339294168, 103.9257459148454 1.339394134372935, 103.924777520977 1.338835031912318, 103.9238091271085 1.339394134372935, 103.9238091271085 1.340512339294168, 103.924777520977 1.341071441754785))"
6574,"POLYGON ((103.9267143087138 1.341071441754785, 103.9276827025822 1.340512339294168, 103.9276827025822 1.339394134372935, 103.9267143087138 1.338835031912318, 103.9257459148454 1.339394134372935, 103.9257459148454 1.340512339294168, 103.9267143087138 1.341071441754785))"
6575,"POLYGON ((103.9286510964507 1.341071441754785, 103.9296194903191 1.340512339294168, 103.9296194903191 1.339394134372935, 103.9286510964507 1.338835031912318, 103.9276827025822 1.339394134372935, 103.9276827025822 1.340512339294168, 103.9286510964507 1.341071441754785))"
6576,"POLYGON ((103.9305878841875 1.341071441754785, 103.9315562780559 1.340512339294168, 103.9315562780559 1.339394134372935, 103.9305878841875 1.338835031912318, 103.9296194903191 1.339394134372935, 103.9296194903191 1.340512339294168, 103.9305878841875 1.341071441754785))"
6577,"POLYGON ((103.9325246719244 1.341071441754785, 103.9334930657928 1.340512339294168, 103.9334930657928 1.339394134372935, 103.9325246719244 1.338835031912318, 103.931556278056 1.339394134372935, 103.931556278056 1.340512339294168, 103.9325246719244 1.341071441754785))"
6578,"POLYGON ((103.9354298535296 1.339627072446454, 103.9354298535296 1.339394134372935, 103.9344614596612 1.338835031912318, 103.9334930657928 1.339394134372935, 103.9334930657928 1.340512339294168, 103.9341518369308 1.340892680988043, 103.9354298535296 1.339627072446454))"
6579,"POLYGON ((103.9359869796982 1.33907247742955, 103.9354298535297 1.339394134372935, 103.9354298535297 1.339627072446439, 103.93549792286 1.33955966399026, 103.93566931735 1.33938605797283, 103.9359869796982 1.33907247742955))"
6580,"POLYGON ((103.8971372710633 1.339138268743157, 103.897662492661 1.338835031912318, 103.897662492661 1.337716826991085, 103.8967642205507 1.337198209346385, 103.896757768779 1.33720407028523, 103.896208996033 1.33776376732442, 103.896176177952 1.33779723868133, 103.896303340244 1.33794441249873, 103.896557673375 1.3382899624856, 103.896837440031 1.3386611079921, 103.897117207858 1.339109043909, 103.8971372710633 1.339138268743157))"
6581,"POLYGON ((103.8986308865294 1.339394134372935, 103.8995992803979 1.338835031912318, 103.8995992803979 1.337716826991085, 103.8986308865294 1.337157724530468, 103.897662492661 1.337716826991085, 103.897662492661 1.338835031912318, 103.8986308865294 1.339394134372935))"
6582,"POLYGON ((103.9015360681347 1.338828361535982, 103.9015360681347 1.337716826991085, 103.9005676742663 1.337157724530468, 103.8995992803979 1.337716826991085, 103.8995992803979 1.338835031912318, 103.9002317216023 1.33920017201196, 103.900472058785 1.33911859698696, 103.900667271338 1.33904671185246, 103.90075662773 1.33901933790355, 103.901010204354 1.33894843778742, 103.901158205824 1.33891296452016, 103.901236406009 1.33889664490441, 103.9015360681347 1.338828361535982))"
6583,"POLYGON ((103.9028429672302 1.339198698288983, 103.9034728558716 1.338835031912318, 103.9034728558716 1.337716826991085, 103.9025044620032 1.337157724530468, 103.9015360681347 1.337716826991085, 103.9015360681347 1.338828361535978, 103.902097751364 1.33870037197843, 103.902184704577 1.33888399065744, 103.902258725147 1.3390459854541, 103.902329820742 1.33920166696654, 103.902330741821 1.33920368367186, 103.9028429672302 1.339198698288983))"
6584,"POLYGON ((103.9048131091222 1.339179441258524, 103.9054096436084 1.338835031912318, 103.9054096436084 1.337716826991085, 103.90444124974 1.337157724530468, 103.9034728558716 1.337716826991085, 103.9034728558716 1.338835031912318, 103.9040818596503 1.339186640407928, 103.904716259158 1.33918046593008, 103.9048131091222 1.339179441258524))"
6585,"POLYGON ((103.9067685173685 1.339168690702383, 103.9073464313453 1.338835031912318, 103.9073464313453 1.337716826991085, 103.9063780374769 1.337157724530468, 103.9054096436084 1.337716826991085, 103.9054096436084 1.338835031912318, 103.9059945233434 1.339172712384763, 103.9067685173685 1.339168690702383))"
6586,"POLYGON ((103.9083148252137 1.339394134372935, 103.9092832190821 1.338835031912318, 103.9092832190821 1.337716826991085, 103.9083148252137 1.337157724530468, 103.9073464313453 1.337716826991085, 103.9073464313453 1.338835031912318, 103.9083148252137 1.339394134372935))"
6587,"POLYGON ((103.9102516129506 1.339394134372935, 103.911220006819 1.338835031912318, 103.911220006819 1.337716826991085, 103.9102516129506 1.337157724530468, 103.9092832190821 1.337716826991085, 103.9092832190821 1.338835031912318, 103.9102516129506 1.339394134372935))"
6588,"POLYGON ((103.9121884006874 1.339394134372935, 103.9131567945558 1.338835031912318, 103.9131567945558 1.337716826991085, 103.9121884006874 1.337157724530468, 103.911220006819 1.337716826991085, 103.911220006819 1.338835031912318, 103.9121884006874 1.339394134372935))"
6589,"POLYGON ((103.9141251884243 1.339394134372935, 103.9150935822927 1.338835031912318, 103.9150935822927 1.337716826991085, 103.9141251884243 1.337157724530468, 103.9131567945558 1.337716826991085, 103.9131567945558 1.338835031912318, 103.9141251884243 1.339394134372935))"
6590,"POLYGON ((103.9160619761611 1.339394134372935, 103.9170303700295 1.338835031912318, 103.9170303700295 1.337716826991085, 103.9160619761611 1.337157724530468, 103.9150935822927 1.337716826991085, 103.9150935822927 1.338835031912318, 103.9160619761611 1.339394134372935))"
6591,"POLYGON ((103.917998763898 1.339394134372935, 103.9189671577664 1.338835031912318, 103.9189671577664 1.337716826991085, 103.917998763898 1.337157724530468, 103.9170303700296 1.337716826991085, 103.9170303700296 1.338835031912318, 103.917998763898 1.339394134372935))"
6592,"POLYGON ((103.9199355516348 1.339394134372935, 103.9209039455032 1.338835031912318, 103.9209039455032 1.337716826991085, 103.9199355516348 1.337157724530468, 103.9189671577664 1.337716826991085, 103.9189671577664 1.338835031912318, 103.9199355516348 1.339394134372935))"
6593,"POLYGON ((103.9218723393717 1.339394134372935, 103.9228407332401 1.338835031912318, 103.9228407332401 1.337716826991085, 103.9218723393717 1.337157724530468, 103.9209039455033 1.337716826991085, 103.9209039455033 1.338835031912318, 103.9218723393717 1.339394134372935))"
6594,"POLYGON ((103.9238091271085 1.339394134372935, 103.9247775209769 1.338835031912318, 103.9247775209769 1.337716826991085, 103.9238091271085 1.337157724530468, 103.9228407332401 1.337716826991085, 103.9228407332401 1.338835031912318, 103.9238091271085 1.339394134372935))"
6595,"POLYGON ((103.9257459148454 1.339394134372935, 103.9267143087138 1.338835031912318, 103.9267143087138 1.337716826991085, 103.9257459148454 1.337157724530468, 103.924777520977 1.337716826991085, 103.924777520977 1.338835031912318, 103.9257459148454 1.339394134372935))"
6596,"POLYGON ((103.9276827025822 1.339394134372935, 103.9286510964507 1.338835031912318, 103.9286510964507 1.337716826991085, 103.9276827025822 1.337157724530468, 103.9267143087138 1.337716826991085, 103.9267143087138 1.338835031912318, 103.9276827025822 1.339394134372935))"
6597,"POLYGON ((103.9296194903191 1.339394134372935, 103.9305878841875 1.338835031912318, 103.9305878841875 1.337716826991085, 103.9296194903191 1.337157724530468, 103.9286510964507 1.337716826991085, 103.9286510964507 1.338835031912318, 103.9296194903191 1.339394134372935))"
6598,"POLYGON ((103.9315562780559 1.339394134372935, 103.9325246719244 1.338835031912318, 103.9325246719244 1.337716826991085, 103.9315562780559 1.337157724530468, 103.9305878841875 1.337716826991085, 103.9305878841875 1.338835031912318, 103.9315562780559 1.339394134372935))"
6599,"POLYGON ((103.9334930657928 1.339394134372935, 103.9344614596612 1.338835031912318, 103.9344614596612 1.337716826991085, 103.9334930657928 1.337157724530468, 103.9325246719244 1.337716826991085, 103.9325246719244 1.338835031912318, 103.9334930657928 1.339394134372935))"
6600,"POLYGON ((103.9354298535296 1.339394134372935, 103.9359869796982 1.33907247742953, 103.9363982473981 1.338666494317334, 103.9363982473981 1.337716826991085, 103.9354298535296 1.337157724530468, 103.9344614596612 1.337716826991085, 103.9344614596612 1.338835031912318, 103.9354298535296 1.339394134372935))"
6601,"POLYGON ((103.9377199931581 1.337361732340185, 103.9373666412665 1.337157724530468, 103.9363982473981 1.337716826991085, 103.9363982473981 1.33866649431732, 103.9377199931581 1.337361732340185))"
6602,"POLYGON ((103.897662492661 1.337716826991085, 103.8986308865294 1.337157724530468, 103.8986308865294 1.336039519609235, 103.8982309265443 1.335808602604129, 103.898193459532 1.33584469754628, 103.897596671569 1.33641870047369, 103.897554552738 1.33645922160972, 103.897169059583 1.33683044419272, 103.8967642205507 1.33719820934638, 103.897662492661 1.337716826991085))"
6603,"POLYGON ((103.8995992803979 1.337716826991085, 103.9005676742663 1.337157724530468, 103.9005676742663 1.336039519609235, 103.8995992803979 1.335480417148618, 103.8986308865295 1.336039519609235, 103.8986308865295 1.337157724530468, 103.8995992803979 1.337716826991085))"
6604,"POLYGON ((103.9015360681347 1.337716826991085, 103.9025044620032 1.337157724530468, 103.9025044620032 1.336039519609235, 103.9015360681347 1.335480417148618, 103.9005676742663 1.336039519609235, 103.9005676742663 1.337157724530468, 103.9015360681347 1.337716826991085))"
6605,"POLYGON ((103.9034728558716 1.337716826991085, 103.90444124974 1.337157724530468, 103.90444124974 1.336039519609235, 103.9034728558716 1.335480417148618, 103.9025044620032 1.336039519609235, 103.9025044620032 1.337157724530468, 103.9034728558716 1.337716826991085))"
6606,"POLYGON ((103.9054096436084 1.337716826991085, 103.9063780374769 1.337157724530468, 103.9063780374769 1.336039519609235, 103.9054096436084 1.335480417148618, 103.90444124974 1.336039519609235, 103.90444124974 1.337157724530468, 103.9054096436084 1.337716826991085))"
6607,"POLYGON ((103.9073464313453 1.337716826991085, 103.9083148252137 1.337157724530468, 103.9083148252137 1.336039519609235, 103.9073464313453 1.335480417148618, 103.9063780374769 1.336039519609235, 103.9063780374769 1.337157724530468, 103.9073464313453 1.337716826991085))"
6608,"POLYGON ((103.9092832190821 1.337716826991085, 103.9102516129506 1.337157724530468, 103.9102516129506 1.336039519609235, 103.9092832190821 1.335480417148618, 103.9083148252137 1.336039519609235, 103.9083148252137 1.337157724530468, 103.9092832190821 1.337716826991085))"
6609,"POLYGON ((103.911220006819 1.337716826991085, 103.9121884006874 1.337157724530468, 103.9121884006874 1.336039519609235, 103.911220006819 1.335480417148618, 103.9102516129506 1.336039519609235, 103.9102516129506 1.337157724530468, 103.911220006819 1.337716826991085))"
6610,"POLYGON ((103.9131567945558 1.337716826991085, 103.9141251884243 1.337157724530468, 103.9141251884243 1.336039519609235, 103.9131567945558 1.335480417148618, 103.9121884006874 1.336039519609235, 103.9121884006874 1.337157724530468, 103.9131567945558 1.337716826991085))"
6611,"POLYGON ((103.9150935822927 1.337716826991085, 103.9160619761611 1.337157724530468, 103.9160619761611 1.336039519609235, 103.9150935822927 1.335480417148618, 103.9141251884243 1.336039519609235, 103.9141251884243 1.337157724530468, 103.9150935822927 1.337716826991085))"
6612,"POLYGON ((103.9170303700296 1.337716826991085, 103.917998763898 1.337157724530468, 103.917998763898 1.336039519609235, 103.9170303700296 1.335480417148618, 103.9160619761611 1.336039519609235, 103.9160619761611 1.337157724530468, 103.9170303700296 1.337716826991085))"
6613,"POLYGON ((103.9189671577664 1.337716826991085, 103.9199355516348 1.337157724530468, 103.9199355516348 1.336039519609235, 103.9189671577664 1.335480417148618, 103.917998763898 1.336039519609235, 103.917998763898 1.337157724530468, 103.9189671577664 1.337716826991085))"
6614,"POLYGON ((103.9209039455033 1.337716826991085, 103.9218723393717 1.337157724530468, 103.9218723393717 1.336039519609235, 103.9209039455033 1.335480417148618, 103.9199355516348 1.336039519609235, 103.9199355516348 1.337157724530468, 103.9209039455033 1.337716826991085))"
6615,"POLYGON ((103.9228407332401 1.337716826991085, 103.9238091271085 1.337157724530468, 103.9238091271085 1.336039519609235, 103.9228407332401 1.335480417148618, 103.9218723393717 1.336039519609235, 103.9218723393717 1.337157724530468, 103.9228407332401 1.337716826991085))"
6616,"POLYGON ((103.924777520977 1.337716826991085, 103.9257459148454 1.337157724530468, 103.9257459148454 1.336039519609235, 103.924777520977 1.335480417148618, 103.9238091271085 1.336039519609235, 103.9238091271085 1.337157724530468, 103.924777520977 1.337716826991085))"
6617,"POLYGON ((103.9267143087138 1.337716826991085, 103.9276827025822 1.337157724530468, 103.9276827025822 1.336039519609235, 103.9267143087138 1.335480417148618, 103.9257459148454 1.336039519609235, 103.9257459148454 1.337157724530468, 103.9267143087138 1.337716826991085))"
6618,"POLYGON ((103.9286510964507 1.337716826991085, 103.9296194903191 1.337157724530468, 103.9296194903191 1.336039519609235, 103.9286510964507 1.335480417148618, 103.9276827025822 1.336039519609235, 103.9276827025822 1.337157724530468, 103.9286510964507 1.337716826991085))"
6619,"POLYGON ((103.9305878841875 1.337716826991085, 103.9315562780559 1.337157724530468, 103.9315562780559 1.336039519609235, 103.9305878841875 1.335480417148618, 103.9296194903191 1.336039519609235, 103.9296194903191 1.337157724530468, 103.9305878841875 1.337716826991085))"
6620,"POLYGON ((103.9325246719244 1.337716826991085, 103.9334930657928 1.337157724530468, 103.9334930657928 1.336039519609235, 103.9325246719244 1.335480417148618, 103.931556278056 1.336039519609235, 103.931556278056 1.337157724530468, 103.9325246719244 1.337716826991085))"
6621,"POLYGON ((103.9344614596612 1.337716826991085, 103.9354298535296 1.337157724530468, 103.9354298535296 1.336039519609235, 103.9344614596612 1.335480417148618, 103.9334930657928 1.336039519609235, 103.9334930657928 1.337157724530468, 103.9344614596612 1.337716826991085))"
6622,"POLYGON ((103.9363982473981 1.337716826991085, 103.9373666412665 1.337157724530468, 103.9373666412665 1.336039519609235, 103.9363982473981 1.335480417148618, 103.9354298535297 1.336039519609235, 103.9354298535297 1.337157724530468, 103.9363982473981 1.337716826991085))"
6623,"POLYGON ((103.9393034290033 1.336238924573667, 103.9393034290033 1.336039519609235, 103.9383350351349 1.335480417148618, 103.9373666412665 1.336039519609235, 103.9373666412665 1.337157724530468, 103.9377199931581 1.33736173234018, 103.937821445599 1.33726158351321, 103.937914188345 1.33715531959749, 103.93833046952 1.3367432477041, 103.93843233942 1.33665004961553, 103.938478731241 1.33661344533333, 103.938538042071 1.33656660129556, 103.93859199165 1.33653004823433, 103.93864943741 1.33649111564212, 103.938765971043 1.33642395713664, 103.938887024781 1.33636552824659, 103.939012044226 1.3363160668427, 103.939147300322 1.33627364635932, 103.9393034290033 1.336238924573667))"
6624,"POLYGON ((103.9409770447287 1.335887577177525, 103.9402718228718 1.335480417148618, 103.9393034290034 1.336039519609235, 103.9393034290034 1.336238924573664, 103.94009399774 1.33606310833041, 103.94031519694 1.3360165067729, 103.940315835807 1.33601637199482, 103.940334823029 1.33601237206981, 103.940335295665 1.33601227256918, 103.940345672998 1.33601008626912, 103.940604451265 1.33595556715002, 103.9409770447287 1.335887577177525))"
6625,"POLYGON ((103.942435493836 1.335611408241026, 103.9422086106086 1.335480417148618, 103.9417526421805 1.335743670643359, 103.942435493836 1.335611408241026))"
6626,"POLYGON ((103.8986308865294 1.336039519609235, 103.8995992803979 1.335480417148618, 103.8995992803979 1.334490742627088, 103.899389282717 1.33469294263756, 103.899136919603 1.33493596198646, 103.898756096606 1.33530266466446, 103.8982309265443 1.335808602604129, 103.8986308865294 1.336039519609235))"
6627,"POLYGON ((103.9005676742663 1.336039519609235, 103.9015360681347 1.335480417148618, 103.9015360681347 1.334362212227385, 103.9005676742663 1.333803109766768, 103.8999347585587 1.334168523820939, 103.899811802037 1.33428851138443, 103.899797483911 1.33430246610935, 103.89966445865 1.33442798458515, 103.8995992803979 1.334490742627075, 103.8995992803979 1.335480417148618, 103.9005676742663 1.336039519609235))"
6628,"POLYGON ((103.9025044620032 1.336039519609235, 103.9034728558716 1.335480417148618, 103.9034728558716 1.334362212227385, 103.9025044620032 1.333803109766768, 103.9015360681347 1.334362212227385, 103.9015360681347 1.335480417148618, 103.9025044620032 1.336039519609235))"
6629,"POLYGON ((103.90444124974 1.336039519609235, 103.9054096436084 1.335480417148618, 103.9054096436084 1.334362212227385, 103.90444124974 1.333803109766768, 103.9034728558716 1.334362212227385, 103.9034728558716 1.335480417148618, 103.90444124974 1.336039519609235))"
6630,"POLYGON ((103.9063780374769 1.336039519609235, 103.9073464313453 1.335480417148618, 103.9073464313453 1.334362212227385, 103.9063780374769 1.333803109766768, 103.9054096436084 1.334362212227385, 103.9054096436084 1.335480417148618, 103.9063780374769 1.336039519609235))"
6631,"POLYGON ((103.9083148252137 1.336039519609235, 103.9092832190821 1.335480417148618, 103.9092832190821 1.334362212227385, 103.9083148252137 1.333803109766768, 103.9073464313453 1.334362212227385, 103.9073464313453 1.335480417148618, 103.9083148252137 1.336039519609235))"
6632,"POLYGON ((103.9102516129506 1.336039519609235, 103.911220006819 1.335480417148618, 103.911220006819 1.334362212227385, 103.9102516129506 1.333803109766768, 103.9092832190821 1.334362212227385, 103.9092832190821 1.335480417148618, 103.9102516129506 1.336039519609235))"
6633,"POLYGON ((103.9121884006874 1.336039519609235, 103.9131567945558 1.335480417148618, 103.9131567945558 1.334362212227385, 103.9121884006874 1.333803109766768, 103.911220006819 1.334362212227385, 103.911220006819 1.335480417148618, 103.9121884006874 1.336039519609235))"
6634,"POLYGON ((103.9141251884243 1.336039519609235, 103.9150935822927 1.335480417148618, 103.9150935822927 1.334362212227385, 103.9141251884243 1.333803109766768, 103.9131567945558 1.334362212227385, 103.9131567945558 1.335480417148618, 103.9141251884243 1.336039519609235))"
6635,"POLYGON ((103.9160619761611 1.336039519609235, 103.9170303700295 1.335480417148618, 103.9170303700295 1.334362212227385, 103.9160619761611 1.333803109766768, 103.9150935822927 1.334362212227385, 103.9150935822927 1.335480417148618, 103.9160619761611 1.336039519609235))"
6636,"POLYGON ((103.917998763898 1.336039519609235, 103.9189671577664 1.335480417148618, 103.9189671577664 1.334362212227385, 103.917998763898 1.333803109766768, 103.9170303700296 1.334362212227385, 103.9170303700296 1.335480417148618, 103.917998763898 1.336039519609235))"
6637,"POLYGON ((103.9199355516348 1.336039519609235, 103.9209039455032 1.335480417148618, 103.9209039455032 1.334362212227385, 103.9199355516348 1.333803109766768, 103.9189671577664 1.334362212227385, 103.9189671577664 1.335480417148618, 103.9199355516348 1.336039519609235))"
6638,"POLYGON ((103.9218723393717 1.336039519609235, 103.9228407332401 1.335480417148618, 103.9228407332401 1.334362212227385, 103.9218723393717 1.333803109766768, 103.9209039455033 1.334362212227385, 103.9209039455033 1.335480417148618, 103.9218723393717 1.336039519609235))"
6639,"POLYGON ((103.9238091271085 1.336039519609235, 103.9247775209769 1.335480417148618, 103.9247775209769 1.334362212227385, 103.9238091271085 1.333803109766768, 103.9228407332401 1.334362212227385, 103.9228407332401 1.335480417148618, 103.9238091271085 1.336039519609235))"
6640,"POLYGON ((103.9257459148454 1.336039519609235, 103.9267143087138 1.335480417148618, 103.9267143087138 1.334362212227385, 103.9257459148454 1.333803109766768, 103.924777520977 1.334362212227385, 103.924777520977 1.335480417148618, 103.9257459148454 1.336039519609235))"
6641,"POLYGON ((103.9276827025822 1.336039519609235, 103.9286510964507 1.335480417148618, 103.9286510964507 1.334362212227385, 103.9276827025822 1.333803109766768, 103.9267143087138 1.334362212227385, 103.9267143087138 1.335480417148618, 103.9276827025822 1.336039519609235))"
6642,"POLYGON ((103.9296194903191 1.336039519609235, 103.9305878841875 1.335480417148618, 103.9305878841875 1.334362212227385, 103.9296194903191 1.333803109766768, 103.9286510964507 1.334362212227385, 103.9286510964507 1.335480417148618, 103.9296194903191 1.336039519609235))"
6643,"POLYGON ((103.9315562780559 1.336039519609235, 103.9325246719244 1.335480417148618, 103.9325246719244 1.334362212227385, 103.9315562780559 1.333803109766768, 103.9305878841875 1.334362212227385, 103.9305878841875 1.335480417148618, 103.9315562780559 1.336039519609235))"
6644,"POLYGON ((103.9334930657928 1.336039519609235, 103.9344614596612 1.335480417148618, 103.9344614596612 1.334362212227385, 103.9334930657928 1.333803109766768, 103.9325246719244 1.334362212227385, 103.9325246719244 1.335480417148618, 103.9334930657928 1.336039519609235))"
6645,"POLYGON ((103.9354298535296 1.336039519609235, 103.9363982473981 1.335480417148618, 103.9363982473981 1.334362212227385, 103.9354298535296 1.333803109766768, 103.9344614596612 1.334362212227385, 103.9344614596612 1.335480417148618, 103.9354298535296 1.336039519609235))"
6646,"POLYGON ((103.9373666412665 1.336039519609235, 103.9383350351349 1.335480417148618, 103.9383350351349 1.334362212227385, 103.9373666412665 1.333803109766768, 103.9363982473981 1.334362212227385, 103.9363982473981 1.335480417148618, 103.9373666412665 1.336039519609235))"
6647,"POLYGON ((103.9393034290033 1.336039519609235, 103.9402718228718 1.335480417148618, 103.9402718228718 1.334362212227385, 103.9393034290033 1.333803109766768, 103.9383350351349 1.334362212227385, 103.9383350351349 1.335480417148618, 103.9393034290033 1.336039519609235))"
6648,"POLYGON ((103.9417526421804 1.335743670643363, 103.9422086106086 1.335480417148618, 103.9422086106086 1.334362212227385, 103.9412402167402 1.333803109766768, 103.9402718228718 1.334362212227385, 103.9402718228718 1.335480417148618, 103.9409770447287 1.335887577177525, 103.941540637023 1.33578473419092, 103.9417526421804 1.335743670643363))"
6649,"POLYGON ((103.9441453983455 1.335286204323226, 103.9441453983455 1.334362212227385, 103.9431770044771 1.333803109766768, 103.9422086106086 1.334362212227385, 103.9422086106086 1.335480417148618, 103.942435493836 1.335611408241026, 103.942833367973 1.33553434349533, 103.943488523827 1.33540744639594, 103.943699468251 1.33537408216329, 103.9441453983455 1.335286204323226))"
6650,"POLYGON ((103.9460821860823 1.334904528528997, 103.9460821860823 1.334362212227385, 103.9451137922139 1.333803109766768, 103.9441453983455 1.334362212227385, 103.9441453983455 1.335286204323223, 103.9460821860823 1.334904528528997))"
6651,"POLYGON ((103.9480189738192 1.334522852734768, 103.9480189738192 1.334362212227385, 103.9470505799508 1.333803109766768, 103.9460821860823 1.334362212227385, 103.9460821860823 1.334904528528994, 103.9480189738192 1.334522852734768))"
6652,"POLYGON ((103.9492397389138 1.333948816362161, 103.9489873676876 1.333803109766768, 103.9480189738192 1.334362212227385, 103.9480189738192 1.334522852734765, 103.948435225295 1.33444082355335, 103.948506351603 1.33442680710298, 103.948975299812 1.33433434100832, 103.9492397389138 1.333948816362161))"
6653,"POLYGON ((103.8999347585587 1.334168523820939, 103.9005676742663 1.333803109766768, 103.9005676742663 1.333555429019552, 103.900259105278 1.33385348746694, 103.900150894942 1.33395826641418, 103.899977822199 1.33412650001279, 103.8999347585587 1.334168523820939))"
6654,"POLYGON ((103.9015360681347 1.334362212227384, 103.9025044620032 1.333803109766768, 103.9025044620032 1.332684904845534, 103.9018586147682 1.332312024770575, 103.901471350703 1.33268208928896, 103.901286134542 1.3328645218244, 103.900966453778 1.33317385117856, 103.900575907334 1.33354747638831, 103.9005676742663 1.333555429019539, 103.9005676742663 1.333803109766768, 103.9015360681347 1.334362212227384))"
6655,"POLYGON ((103.9034728558716 1.334362212227384, 103.90444124974 1.333803109766768, 103.90444124974 1.332684904845534, 103.9034728558716 1.332125802384917, 103.9025044620032 1.332684904845534, 103.9025044620032 1.333803109766768, 103.9034728558716 1.334362212227384))"
6656,"POLYGON ((103.9054096436084 1.334362212227384, 103.9063780374769 1.333803109766768, 103.9063780374769 1.332684904845534, 103.9054096436084 1.332125802384917, 103.90444124974 1.332684904845534, 103.90444124974 1.333803109766768, 103.9054096436084 1.334362212227384))"
6657,"POLYGON ((103.9073464313453 1.334362212227384, 103.9083148252137 1.333803109766768, 103.9083148252137 1.332684904845534, 103.9073464313453 1.332125802384917, 103.9063780374769 1.332684904845534, 103.9063780374769 1.333803109766768, 103.9073464313453 1.334362212227384))"
6658,"POLYGON ((103.9092832190821 1.334362212227384, 103.9102516129506 1.333803109766768, 103.9102516129506 1.332684904845534, 103.9092832190821 1.332125802384917, 103.9083148252137 1.332684904845534, 103.9083148252137 1.333803109766768, 103.9092832190821 1.334362212227384))"
6659,"POLYGON ((103.911220006819 1.334362212227384, 103.9121884006874 1.333803109766768, 103.9121884006874 1.332684904845534, 103.911220006819 1.332125802384917, 103.9102516129506 1.332684904845534, 103.9102516129506 1.333803109766768, 103.911220006819 1.334362212227384))"
6660,"POLYGON ((103.9131567945558 1.334362212227384, 103.9141251884243 1.333803109766768, 103.9141251884243 1.332684904845534, 103.9131567945558 1.332125802384917, 103.9121884006874 1.332684904845534, 103.9121884006874 1.333803109766768, 103.9131567945558 1.334362212227384))"
6661,"POLYGON ((103.9150935822927 1.334362212227384, 103.9160619761611 1.333803109766768, 103.9160619761611 1.332684904845534, 103.9150935822927 1.332125802384917, 103.9141251884243 1.332684904845534, 103.9141251884243 1.333803109766768, 103.9150935822927 1.334362212227384))"
6662,"POLYGON ((103.9170303700296 1.334362212227384, 103.917998763898 1.333803109766768, 103.917998763898 1.332684904845534, 103.9170303700296 1.332125802384917, 103.9160619761611 1.332684904845534, 103.9160619761611 1.333803109766768, 103.9170303700296 1.334362212227384))"
6663,"POLYGON ((103.9189671577664 1.334362212227384, 103.9199355516348 1.333803109766768, 103.9199355516348 1.332684904845534, 103.9189671577664 1.332125802384917, 103.917998763898 1.332684904845534, 103.917998763898 1.333803109766768, 103.9189671577664 1.334362212227384))"
6664,"POLYGON ((103.9209039455033 1.334362212227384, 103.9218723393717 1.333803109766768, 103.9218723393717 1.332684904845534, 103.9209039455033 1.332125802384917, 103.9199355516348 1.332684904845534, 103.9199355516348 1.333803109766768, 103.9209039455033 1.334362212227384))"
6665,"POLYGON ((103.9228407332401 1.334362212227384, 103.9238091271085 1.333803109766768, 103.9238091271085 1.332684904845534, 103.9228407332401 1.332125802384917, 103.9218723393717 1.332684904845534, 103.9218723393717 1.333803109766768, 103.9228407332401 1.334362212227384))"
6666,"POLYGON ((103.924777520977 1.334362212227384, 103.9257459148454 1.333803109766768, 103.9257459148454 1.332684904845534, 103.924777520977 1.332125802384917, 103.9238091271085 1.332684904845534, 103.9238091271085 1.333803109766768, 103.924777520977 1.334362212227384))"
