,geometry
30,"POLYGON ((103.8163174077132 1.468546802775403, 103.8172858015816 1.467987700314786, 103.8172858015816 1.466869495393553, 103.8163174077132 1.466310392932936, 103.8153490138448 1.466869495393553, 103.8153490138448 1.467987700314786, 103.8163174077132 1.468546802775403))"
31,"POLYGON ((103.8182541954501 1.468546802775403, 103.8192225893185 1.467987700314786, 103.8192225893185 1.466869495393553, 103.8182541954501 1.466310392932936, 103.8172858015817 1.466869495393553, 103.8172858015817 1.467987700314786, 103.8182541954501 1.468546802775403))"
32,"POLYGON ((103.8201909831869 1.468546802775403, 103.8211593770554 1.467987700314786, 103.8211593770554 1.46770413832426, 103.821109706464 1.46768814170328, 103.820932621753 1.46761685336524, 103.820731926792 1.46742675231602, 103.820153453995 1.46699902391428, 103.820035398087 1.46691585432646, 103.8196884902385 1.466600507372003, 103.8192225893185 1.466869495393553, 103.8192225893185 1.467987700314786, 103.8201909831869 1.468546802775403))"
33,"MULTIPOLYGON (((103.8221277709238 1.468546802775403, 103.8222933606651 1.468451199493701, 103.822290266257 1.46843666603718, 103.822172210489 1.46829409073324, 103.821983321278 1.46810398985608, 103.821829848275 1.46804458233307, 103.821404846602 1.46778319281491, 103.8211593770554 1.467704138324264, 103.8211593770554 1.467987700314786, 103.8221277709238 1.468546802775403)), ((103.8221951099918 1.466349271161971, 103.8221277709238 1.466310392932936, 103.8217509197599 1.466527968053825, 103.821800408425 1.4665719148417, 103.821905626133 1.46662369923933, 103.821992982446 1.46663063977199, 103.822171309136 1.46667241412893, 103.822242636428 1.46661020151109, 103.822142779673 1.46640442032879, 103.8221951099918 1.466349271161971)))"
34,"POLYGON ((103.8269697402659 1.467601207379744, 103.8269697402659 1.466869495393553, 103.8263616158553 1.466518394601394, 103.8269697402659 1.467601207379744))"
35,"POLYGON ((103.8289065280028 1.467727336538991, 103.8289065280028 1.466869495393553, 103.8279381341343 1.466310392932936, 103.8269697402659 1.466869495393553, 103.8269697402659 1.467601207379769, 103.8272909537936 1.468173153031441, 103.8277035166873 1.468411346329191, 103.8289065280028 1.467727336538991))"
36,"POLYGON ((103.8306309293933 1.466746874079333, 103.8298749218712 1.466310392932936, 103.8289065280028 1.466869495393553, 103.8289065280028 1.467727336538983, 103.8306309293933 1.466746874079333))"
37,"POLYGON ((103.7969495303447 1.465684508818243, 103.7969495303447 1.465192188011703, 103.7959811364763 1.464633085551086, 103.7958516833878 1.46470782532659, 103.79692152866 1.4653752472659, 103.796797891068 1.46560016764092, 103.7969495303447 1.465684508818243))"
38,"POLYGON ((103.7983533931856 1.466618077265059, 103.7988863180815 1.466310392932936, 103.7988863180815 1.465192188011703, 103.7979179242131 1.464633085551086, 103.7969495303447 1.465192188011703, 103.7969495303447 1.465684508818251, 103.796978584958 1.46570066888143, 103.797026137554 1.46563845669384, 103.797449340171 1.46592081393597, 103.797468359087 1.46604045427954, 103.797287659254 1.46630844496925, 103.79794386256 1.46672480268819, 103.798015191111 1.46662430553979, 103.79811980363 1.46666737840756, 103.798348050763 1.46661473992262, 103.7983533931856 1.466618077265059))"
39,"POLYGON ((103.7998764762899 1.466856929746039, 103.8008231058184 1.466310392932936, 103.8008231058184 1.465192188011703, 103.79985471195 1.464633085551086, 103.7988863180816 1.465192188011703, 103.7988863180816 1.466310392932936, 103.7997415444365 1.46680415809919, 103.799793610958 1.46680140108427, 103.7998764762899 1.466856929746039))"
40,"POLYGON ((103.8017914996868 1.466869495393553, 103.8027598935552 1.466310392932936, 103.8027598935552 1.465192188011703, 103.8017914996868 1.464633085551086, 103.8008231058184 1.465192188011703, 103.8008231058184 1.466310392932936, 103.8017914996868 1.466869495393553))"
41,"POLYGON ((103.8037282874237 1.466869495393553, 103.8046966812921 1.466310392932936, 103.8046966812921 1.465192188011703, 103.8037282874237 1.464633085551086, 103.8027598935553 1.465192188011703, 103.8027598935553 1.466310392932936, 103.8037282874237 1.466869495393553))"
42,"POLYGON ((103.8056650751605 1.466869495393553, 103.806633469029 1.466310392932936, 103.806633469029 1.465192188011703, 103.8056650751605 1.464633085551086, 103.8046966812921 1.465192188011703, 103.8046966812921 1.466310392932936, 103.8056650751605 1.466869495393553))"
43,"POLYGON ((103.8076018628974 1.466869495393553, 103.8085702567658 1.466310392932936, 103.8085702567658 1.465192188011703, 103.8076018628974 1.464633085551086, 103.806633469029 1.465192188011703, 103.806633469029 1.466310392932936, 103.8076018628974 1.466869495393553))"
44,"POLYGON ((103.8095386506342 1.466869495393553, 103.8105070445027 1.466310392932936, 103.8105070445027 1.465192188011703, 103.8095386506342 1.464633085551086, 103.8085702567658 1.465192188011703, 103.8085702567658 1.466310392932936, 103.8095386506342 1.466869495393553))"
45,"POLYGON ((103.8114754383711 1.466869495393553, 103.8124438322395 1.466310392932936, 103.8124438322395 1.465192188011703, 103.8114754383711 1.464633085551086, 103.8105070445027 1.465192188011703, 103.8105070445027 1.466310392932936, 103.8114754383711 1.466869495393553))"
46,"POLYGON ((103.8134122261079 1.466869495393553, 103.8143806199764 1.466310392932936, 103.8143806199764 1.465192188011703, 103.8134122261079 1.464633085551086, 103.8124438322395 1.465192188011703, 103.8124438322395 1.466310392932936, 103.8134122261079 1.466869495393553))"
47,"POLYGON ((103.8153490138448 1.466869495393553, 103.8163174077132 1.466310392932936, 103.8163174077132 1.465192188011703, 103.8153490138448 1.464633085551086, 103.8143806199764 1.465192188011703, 103.8143806199764 1.466310392932936, 103.8153490138448 1.466869495393553))"
48,"POLYGON ((103.8172858015816 1.466869495393553, 103.8182541954501 1.466310392932936, 103.8182541954501 1.465192188011703, 103.8172858015816 1.464633085551086, 103.8163174077132 1.465192188011703, 103.8163174077132 1.466310392932936, 103.8172858015816 1.466869495393553))"
49,"MULTIPOLYGON (((103.8201909831869 1.465577506514083, 103.8201909831869 1.465192188011703, 103.819676739973 1.464895289553696, 103.8201909831869 1.465577506514083)), ((103.8192225893185 1.466869495393553, 103.8196884902385 1.466600507371998, 103.819669425909 1.46658317747226, 103.819574981245 1.46645248279853, 103.819126370273 1.4660247549294, 103.8185194517726 1.465039042202508, 103.8182541954501 1.465192188011703, 103.8182541954501 1.466310392932936, 103.8192225893185 1.466869495393553)))"
50,"POLYGON ((103.8217509197599 1.466527968053819, 103.8221277709238 1.466310392932936, 103.8221277709238 1.465192188011703, 103.8211593770554 1.464633085551086, 103.8201909831869 1.465192188011703, 103.8201909831869 1.465577506514102, 103.820345339838 1.4657822826248, 103.820511769922 1.46579664036057, 103.820635402531 1.46588278169391, 103.820668688262 1.46596892250805, 103.820911200071 1.46610770659509, 103.821044343913 1.46613163588855, 103.821082384221 1.46621299083103, 103.821239303146 1.46628956143489, 103.821453285117 1.46626084904629, 103.821519856508 1.46628956294226, 103.821667265317 1.46639963199435, 103.821719571848 1.46650013056751, 103.8217509197599 1.466527968053819))"
51,"POLYGON ((103.8240645586606 1.465729875173924, 103.8240645586606 1.465251505391124, 103.8240134672136 1.465162690351012, 103.8230961647922 1.464633085551086, 103.8221277709238 1.465192188011703, 103.8221277709238 1.466310392932936, 103.8221951099918 1.466349271161971, 103.822646827364 1.46587322138249, 103.822748316668 1.46593970253411, 103.822843094195 1.4660241651093, 103.822982885965 1.46604516418044, 103.823105985644 1.4659695717162, 103.823241344884 1.4659233901067, 103.823923151411 1.46553063525102, 103.8240645586606 1.465729875173924))"
52,"MULTIPOLYGON (((103.8260013463975 1.465876906830465, 103.8260013463975 1.465192188011703, 103.8254322779171 1.464863636171347, 103.8260013463975 1.465876906830465)), ((103.8240645586606 1.465251505391149, 103.8240645586606 1.465729875173944, 103.824149040207 1.4658489079451, 103.824329752492 1.46571250624636, 103.8240645586606 1.465251505391149)))"
53,"POLYGON ((103.8269697402659 1.466869495393553, 103.8279381341343 1.466310392932936, 103.8279381341343 1.465192188011703, 103.8269697402659 1.464633085551086, 103.8260013463975 1.465192188011703, 103.8260013463975 1.46587690683049, 103.8263616158553 1.466518394601394, 103.8269697402659 1.466869495393553))"
54,"POLYGON ((103.8289065280028 1.466869495393553, 103.8298749218712 1.466310392932936, 103.8298749218712 1.465192188011703, 103.8289065280028 1.464633085551086, 103.8279381341343 1.465192188011703, 103.8279381341343 1.466310392932936, 103.8289065280028 1.466869495393553))"
55,"POLYGON ((103.831811709608 1.466075504478258, 103.831811709608 1.465192188011703, 103.8308433157396 1.464633085551086, 103.8298749218712 1.465192188011703, 103.8298749218712 1.466310392932936, 103.8306309293933 1.466746874079333, 103.831811709608 1.466075504478258))"
56,"POLYGON ((103.8335583420993 1.465082401829475, 103.8327801034765 1.464633085551086, 103.831811709608 1.465192188011703, 103.831811709608 1.46607550447825, 103.8335583420993 1.465082401829475))"
57,"POLYGON ((103.7958516833878 1.46470782532659, 103.7959811364763 1.464633085551086, 103.7959811364763 1.463514880629852, 103.7950127426079 1.462955778169235, 103.7940551074391 1.463508669091721, 103.794957677143 1.46415010039467, 103.7958516833878 1.46470782532659))"
58,"POLYGON ((103.7969495303447 1.465192188011702, 103.7979179242131 1.464633085551086, 103.7979179242131 1.463514880629852, 103.7969495303447 1.462955778169235, 103.7959811364763 1.463514880629852, 103.7959811364763 1.464633085551086, 103.7969495303447 1.465192188011702))"
59,"POLYGON ((103.7988863180816 1.465192188011702, 103.79985471195 1.464633085551086, 103.79985471195 1.463514880629852, 103.7988863180816 1.462955778169235, 103.7979179242131 1.463514880629852, 103.7979179242131 1.464633085551086, 103.7988863180816 1.465192188011702))"
