name,latitude,longitude
Promenade Stn,1.29268553508737,103.86093156188177
Promenade Stn Exit B,1.2933383678058898,103.86070849052751
Opp The Ritz-Carlton,1.2907000000389799,103.86092194446033
Supreme Ct,1.28947444402148,103.85098166700016
Fullerton Sq,1.28561840945474,103.85342223246427
OUE Bayfront,1.2842450000130001,103.853108055996
Prudential Twr,1.28255524603003,103.84998903789257
Raffles Pl Stn Exit F,1.28207492207952,103.85086074925066
Telok Ayer Stn Exit A,1.2817950939470701,103.84893207391676
One Raffles Quay,1.281111,103.851461
OPP SO SOFITEL S'PORE,1.2799060962676398,103.84940030424481
Aft Capital Twr,1.2778259536078997,103.8481011719729
UIC Bldg,1.27807003532092,103.84956718123823
Opp GB Bldg,1.27892124625262,103.84776234627122
Opp AXA Twr,1.2755221889764499,103.84794436749159
Opp MAS Bldg,1.2740788888386998,103.84687388890413
Hub Synergy Pt,1.27397836925637,103.84489562922415
Tanjong Pagar Stn Exit C,1.2757033952327,103.84632468221952
Shenton Way Ter,1.27464226961973,103.84756721372408
Mapletree Anson,1.2745600000000001,103.84536999999999
Bef Marina Gdns Dr,1.27663307202767,103.86076808024792
Aft Marina Gdns Dr,1.27498516412784,103.85950016250489
Bef Gdns by the Bay,1.27959780011944,103.86433768440821
Aft Gdns by the Bay,1.2796560060992301,103.86477807955521
Marina Barrage,1.2796077206195902,103.8698744774074
Gdns by the Bay,1.2806647930346102,103.86626955523418
The Sail,1.28162601329006,103.85306513725685
Marina Bay Financial Ctr,1.28037660340352,103.85498006767988
Opp Marina Sth Pier,1.27159299884076,103.86300900488227
Marina Sth Pier,1.27127698470973,103.86297693157816
Marina Bay Cruise Ctr,1.2669409029471201,103.85964778134668
Marina Bay Sands Theatre,1.2850046767136698,103.86061105386429
Bayfront Stn Exit B/MBS,1.28314999997332,103.86004388891769
Aft Bayfront Stn Exit E,1.2819477947057099,103.8589706487248
Bayfront Stn Exit A,1.28124500000125,103.85884799997385
Downtown Stn,1.2793995741906299,103.85278769921705
Marina Bay Stn,1.2775330547661001,103.85561610012866
OPP BENCOOLEN STN EXIT B,1.29807216909408,103.84975607305785
BEF BENCOOLEN STN EXIT A,1.2994816669682099,103.8509266670124
Capitol Bldg,1.29395444170081,103.85139096636621
SMU,1.29618544092334,103.84958029974614
Armenian Ch,1.2930982644668,103.84965994500729
Stamford Ct,1.29411640848293,103.85020606905505
Grand Pk City Hall,1.2927613239995301,103.84983741344307
Cath Of The Good Shepherd,1.29533777799211,103.8511397219812
Aft Chijmes,1.2948948495494499,103.85108138663935
City Hall Stn Exit B,1.29250006522444,103.85145315468637
Aft City Hall Stn Exit B,1.29208221483052,103.85125994680256
AFT BRAS BASAH STN EXIT A,1.2964791630674097,103.85147164487202
Clarke Quay,1.29043611099357,103.84712444398056
Opp Clarke Quay,1.29096802754795,103.84686777836988
Clarke Quay Stn Exit E,1.28898962180798,103.84708976365569
Old Hill St Police Stn,1.2908447613749499,103.84857901022669
High St Ctr,1.29044830830726,103.84875123545264
Opp Clarke Quay Stn,1.28882717929599,103.8474938118651
Opp The Treasury,1.29043039362749,103.850262165082
Opp High St Ctr,1.2897383329756298,103.84888472198023
Aft River Valley Rd,1.2946457533735098,103.84392142293119
Shell HSE,1.2921400077773,103.84303646191059
Opp Shell HSE,1.29197057108024,103.84328384973516
BEF FORT CANNING STN,1.29183939431601,103.84504089382703
FORT CANNING STN EXIT B,1.29221099996741,103.8450050000296
Opp OCBC Ctr,1.2859255408248897,103.8492364296527
Bef Pearl'S Hill Terr,1.28154583300728,103.84087722199499
Chinatown Stn Exit C,1.2840697994593602,103.84299874303984
Aft Duxton Plain Pk ,1.2811838888548401,103.84105000000471
Aft Chinatown Stn Exit D,1.28571089865595,103.84437203405348
Opp Hong Lim Pk,1.2869292835749802,103.84540375642477
Boat Quay,1.28712283362119,103.84819780822524
New Bridge Ctr,1.2829381912983402,103.84254276754574
Chinatown Pt,1.28531114761754,103.84455070696785
Hong Lim Pk,1.2867642011849099,103.84575036447063
Outram Pk Stn Exit H,1.2802762995963202,103.84029791443085
Hong Lim Pk,1.2860116669956898,103.84634666701143
Opp Hong Lim Cplx,1.284073056,103.84533809999999
Opp Sri Mariamman Tp,1.2820913960391,103.84528061446952
Opp Hong Lim Cplx,1.2845145584609199,103.84666049314173
Bef The Pinnacle@Duxton,1.27854113014976,103.8415105424013
Opp Blk 333,1.28071988238536,103.8422748865487
Aft Kreta Ayer Rd,1.2797944783703201,103.84262707605177
Maxwell Rd FC,1.28097747304602,103.84460051710636
Opp Fairfield Meth Ch,1.27975329525167,103.84382212419122
OCBC Ctr,1.284437,103.849114
Tg Pagar Plaza,1.27519165673078,103.84309190393884
The Amara,1.27470669455555,103.84318683838889
Aft Craig Rd,1.2777747056852902,103.84346347289251
Bef Craig Rd,1.2776941305007499,103.84370654372525
TOWER 15,1.2740799999999999,103.84204609999999
Opp Maritime Hse,1.27553472200739,103.84112694400494
Maritime Hse,1.2767686109831597,103.84059222200348
Opp Southpoint,1.273211389,103.84187
Blk 16,1.27346055934188,103.84034718190607
Bef Cantonment Rd,1.27272393115133,103.84140618785227
Opp Customs Port Br HQ,1.2723842122117,103.84093912218094
Opp Fuji Xerox Twrs,1.273218611,103.8430731
Opp Outram Pk Stn,1.2816599999696698,103.83801388886192
Outram Pk Stn,1.28177041153491,103.83838284882928
Opp Blk 13,1.2860705555216498,103.83879166662209
Blk 8,1.2870599788311898,103.83962555611693
BEF OUTRAM FLYOVER,1.2847485688025901,103.83517705055232
Blk 55,1.28475980959972,103.83405671725487
Aft Furama RiverFront,1.28623157720487,103.83496162445664
Blk 2B,1.2868585948128899,103.83360028266563
Blk 94,1.28837086415387,103.83349881780524
Grand Copthorne Hotel,1.2907816205235199,103.83440916705555
The Boys' Brigade HQ,1.2915247220083301,103.8322275000151
Holiday Inn Atrium,1.28963300933974,103.83381241921823
Opp Holiday Inn Atrium,1.28984045728104,103.83411526676927
Hotel Miramar,1.2887097684146103,103.83737276969174
Opp Hotel Miramar,1.2890938542118797,103.8368794036018
Blk 2,1.2890170567841899,103.83994286096713
River Pl Condo,1.28937078931125,103.83998944937588
Opp State Ct,1.286101944,103.84253559999999
Ctrl Sq,1.2877913647786798,103.84329428089559
Peace Ctr,1.3009969905852201,103.84981018743049
Selegie Ctr,1.30324521574524,103.84995776766847
Tekka Ctr,1.3057208329841201,103.85120583303193
Broadway Hotel,1.3087936646591898,103.85317519940679
Aft Farrer Pk Stn Exit G,1.31313747728456,103.85635614397141
Sri Vadapathira K Tp,1.314966,103.85781899999999
Bef Tai Hoe Hotel,1.309658889,103.8573711
Bef S'Goon Rd,1.31557142083242,103.85900616698895
Aft Kempas Rd,1.3153680559999998,103.85946690000002
Aft Allenby Rd,1.3103883329980301,103.85870666696985
Hoa Nam Bldg,1.3128447258343798,103.85989088288473
Aft King George's Ave,1.30824994545395,103.85890960719179
ARC 380,1.31351833300073,103.86054527803076
OPP ARC 380,1.3136825306597901,103.86071451807119
Bef Kallang Bahru,1.3116763606831299,103.86189483728585
Aft Kallang Bahru,1.31140805601851,103.86237888899063
Aft Kallang Rd,1.30950750000455,103.86350138902452
Aperia/Bef Kallang Rd ,1.31017336740849,103.86338225534828
Opp Veerasamy Rd,1.30653024120879,103.85616302493109
IBIS S'PORE ON BENCOOLEN,1.30145216158073,103.85247781934108
OPP NAFA CAMPUS 3,1.30095828368506,103.85211175034802
JLN BESAR STN EXIT A,1.30431906266143,103.85501564257022
Rochor Stn,1.30365644370093,103.8525732326128
Opp Rochor Stn,1.30461300741211,103.85200097209508
Fu Lu Shou Cplx,1.30171975809706,103.8546132267025
Bef Waterloo St,1.2994544647193602,103.85267983857253
Aft Waterloo St,1.29949531348401,103.85301395376233
SUNSHINE PLAZA,1.3006344463228798,103.851140093146
Ch of Our Lady of Lourdes,1.30320609782822,103.85549999983387
Opp Haw Par Glass Twr,1.2970698501736202,103.84361028672501
Aft Haw Par Glass Twr,1.29624633745957,103.84407009228418
Dhoby Ghaut Stn Exit B,1.2983115378359198,103.8452569595532
YMCA,1.2981101424386698,103.84780636909544
Dhoby Ghaut Stn,1.29930997279734,103.84529021429744
Aft Dhoby Ghaut Stn,1.2989583431631,103.84654115271174
BENCOOLEN STN EXIT B,1.29821382250893,103.84936128375955
Sch of the Arts,1.2992144444558602,103.84910329217985
Winsland Hse,1.2998692871583402,103.84093746088922
