address,latitude,longitude
219 BT BATOK ST 21,1.347207298,103.7549997
235 BT BATOK EAST AVE 5,1.348483521,103.7563004
130 BT BATOK WEST AVE 6,1.35106126,103.7458574
212 BT BATOK ST 21,1.347192811,103.7522173
346 BT BATOK ST 34,1.362471404,103.7505611
226 BT BATOK CTRL,1.3487333780000001,103.7531743
247 BT BATOK EAST AVE 5,1.349969437,103.7564978
169 BT BATOK WEST AVE 8,1.346607336,103.7409093
154 BT BATOK ST 11,1.3477355830000002,103.743984
260 BT BATOK EAST AVE 4,1.3509125919999998,103.75902109999998
360 BT BATOK ST 31,1.3610670480000002,103.7506254
217 BT BATOK ST 21,1.3467339219999999,103.7547278
178 BT BATOK WEST AVE 8,1.346054606,103.7426059
265 BT BATOK EAST AVE 4,1.3500084019999998,103.75986280000001
134 BT BATOK WEST AVE 6,1.35159087,103.74450959999999
301 BT BATOK ST 31,1.356769427,103.74877430000001
289E BT BATOK ST 25,1.3441702930000001,103.7594314
244 BT BATOK EAST AVE 5,1.3491826980000001,103.7572392
248 BT BATOK EAST AVE 5,1.350258841,103.7566047
290D BT BATOK EAST AVE 3,1.3444115030000001,103.7574615
395 BT BATOK WEST AVE 5,1.366316899,103.75228759999999
642 BT BATOK CTRL,1.349006479,103.7517067
185 BT BATOK WEST AVE 6,1.347081585,103.744924
106 BT BATOK CTRL,1.348222309,103.74718850000001
210 BT BATOK ST 21,1.345480082,103.7499561
386 BT BATOK WEST AVE 5,1.3639394219999998,103.75255600000001
394 BT BATOK WEST AVE 5,1.3664231119999999,103.7526886
190 BT BATOK WEST AVE 6,1.34538562,103.7460455
206 BT BATOK ST 21,1.346671926,103.7493835
211 BT BATOK ST 21,1.346802134,103.7503002
391 BT BATOK WEST AVE 5,1.365853749,103.7527285
205 BT BATOK ST 21,1.3471217290000002,103.7500573
193 BT BATOK WEST AVE 6,1.3460089430000002,103.74442359999999
624 BT BATOK CTRL,1.3513414609999999,103.74950859999998
290A BT BATOK ST 24,1.343178552,103.7565485
141 BT BATOK ST 11,1.3504417180000001,103.743212
120 BT BATOK CTRL,1.3510594269999998,103.7477123
289A BT BATOK ST 25,1.3444898090000001,103.7605172
10 JLN BT HO SWEE,1.28745837,103.83267579999999
2 JLN BT HO SWEE,1.28728822,103.831873
45 TELOK BLANGAH DR,1.271757071,103.80956040000001
36 BEO CRES,1.288300791,103.8271804
20 TELOK BLANGAH CRES,1.276915948,103.82181870000001
16 TAMAN HO SWEE,1.288001696,103.8316146
