address,storey_range,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,sold_year,sold_month,latitude,longitude,raffles_place_dist,one_north_dist,jurong_east_dist,orchard_dist,changi_dist,raffles_place_drive,one_north_drive,jurong_east_drive,orchard_drive,changi_drive,mrt_dist,near_bus_itc,near_mrt_itc,bus_u300m,bus_dist,mall_u1km,mall_dist,pri_u1km,pri_u2km,pri_aff_u1km,pri_aff_u2km,pri_elite_u1km,pri_elite_u2km,sec_u1km,sec_u2km,sec_aff_u1km,sec_aff_u2km,sec_elite_u1km,sec_elite_u2km,dist_to_highway,dist_to_exits,price_per_sqft,unit_price,elem_price,hex_id,town,town_min_unit_price,town_max_unit_price,appeal_score
474 SEGAR RD,11.692307692307693,118.30769230769228,2003.0,83.47384615384614,425807.69230769225,2018.0,7.384615384615384,1.3886338199999997,103.77238829999996,55.42,53.47000000000002,39.73,46.17999999999999,77.63,29.97000000000001,25.67000000000001,17.069999999999997,22.62,42.14999999999999,1580.0,0.0,0.0,2.0,110.0,2.0,536.0,3.0,6.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,167.0,157.0,3607.655858196723,43.21361959645738,4.279451053745328,3279.0,BUKIT PANJANG,41.18990670299474,70.64784749753744,0.068698382808806
474 SEMBAWANG DR,5.0,90.5,2000.0,80.875,307166.66666666674,2018.333333333333,7.666666666666668,1.450712103,103.8165436,46.28,55.62,45.28,42.25,64.2,40.25,42.43,37.48,36.7,46.45,472.0,1.0,0.0,10.0,23.0,1.0,426.0,5.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3500.0,3351.0,3393.569393569394,41.94751262143064,11.614790291188324,255.0,SEMBAWANG,38.702890868179296,58.66005130077338,0.16257932906888997
475 ANG MO KIO AVE 10,6.8461538461538485,77.84615384615384,1979.0,59.929230769230756,318538.4615384616,2018.1538461538464,6.3076923076923075,1.3626629779999997,103.8565159,27.399999999999995,34.7,46.850000000000016,23.37,45.32000000000001,16.5,23.9,27.63,12.949999999999998,29.949999999999992,1052.0,0.0,0.0,2.0,68.0,1.0,987.0,2.0,8.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,1.0,0.0,2.0,223.0,442.0,4073.173501192879,67.91382988432227,12.365382243230117,2938.0,ANG MO KIO,48.941092721124754,93.79298471217095,0.4230086250761741
475 JURONG WEST ST 41,8.428571428571429,89.85714285714286,1984.0,65.80999999999999,350285.71428571426,2017.2857142857144,6.857142857142858,1.3480980409999999,103.7250872,41.02,34.25,16.02,45.35000000000001,74.67,27.2,19.1,6.700000000000001,26.07,45.60000000000001,632.0,0.0,0.0,5.0,145.0,0.0,1415.0,3.0,9.0,0.0,0.0,2.0,2.0,6.0,9.0,0.0,1.0,0.0,1.0,623.0,548.0,3907.352168158127,59.36297798685265,9.674097149505613,5196.0,JURONG WEST,36.95491500369549,74.36245474002018,0.5990253072269746
475 PASIR RIS DR 6,5.857142857142858,107.0,1990.0,70.20428571428572,414714.2857142858,2018.857142857143,4.285714285714286,1.3751977399999995,103.95715540000002,37.15,60.27999999999999,74.42,48.39999999999999,27.430000000000003,31.35,40.57999999999999,42.73,29.1,16.400000000000002,908.0,0.0,0.0,6.0,96.0,2.0,390.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1023.0,1103.0,3878.899745897337,55.24302923352308,15.198397350849955,2380.0,PASIR RIS,43.50398179749715,71.55825353538319,0.41844064054505026
475 SEGAR RD,6.285714285714287,106.42857142857143,2002.0,82.92857142857143,377912.5714285714,2018.2857142857144,6.7142857142857135,1.3889462400000003,103.77263719999998,55.82999999999999,53.88,44.89999999999999,46.60000000000001,78.05,30.4,26.1,17.52,23.03,42.57,1624.0,0.0,0.0,2.0,150.0,2.0,577.0,3.0,6.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,135.0,122.0,3567.911219479609,43.01345719180615,10.237133655187886,3279.0,BUKIT PANJANG,41.18990670299474,70.64784749753744,0.06190352888309262
475 SEMBAWANG DR,9.125,97.875,2000.0,81.34375,344625.0,2017.75,8.125,1.4511956060000002,103.816927,45.10000000000001,54.43,45.02,41.07,63.02,39.52,41.7,36.75,35.97,45.72,461.0,1.0,0.0,10.0,87.0,1.0,434.0,5.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,3561.0,3413.0,3520.22647022647,43.28862110044721,6.920851352755827,255.0,SEMBAWANG,38.702890868179296,58.66005130077338,0.2297786926029059
475A UPP SERANGOON CRES,9.0,90.33333333333331,2014.0,93.80333333333333,603333.3333333335,2020.0,1.3333333333333333,1.376298403,103.9002208,33.22,47.58000000000001,65.77,36.57,58.4,24.52,33.73,35.9,22.3,26.12,940.0,0.0,0.0,4.0,77.0,2.0,840.0,3.0,11.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,915.0,716.0,6779.302246531321,72.26822597630519,8.78628894156887,3610.0,HOUGANG,41.786204315828854,81.1839872703508,0.7736989082777236
475B UPP SERANGOON CRES,6.5,100.5,2014.0,93.875,675000.0,2019.5,6.5,1.3757740459999999,103.8999657,34.72,49.08,67.27,38.07,53.05,24.5,33.73,35.9,22.25,26.08,886.0,0.0,0.0,5.0,39.0,2.0,787.0,3.0,10.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,922.0,659.0,6718.189070602313,71.56568699839033,11.617485225765018,3628.0,HOUGANG,41.786204315828854,81.1839872703508,0.7558669663452088
475C UPP SERANGOON CRES,8.0,96.0,2014.0,93.86,631666.6666666665,2019.666666666667,5.0,1.3752181940000001,103.8999953,33.8,48.17,66.35,37.15,52.13,24.75,33.98,36.15,22.62,26.45,861.0,0.0,0.0,5.0,87.0,2.0,755.0,3.0,10.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,900.0,617.0,6570.607806315734,70.00979608013695,16.385184299365648,3628.0,HOUGANG,41.786204315828854,81.1839872703508,0.7163751269173558
