coordinates,raffles_place_dist,one_north_dist,jurong_east_dist,orchard_dist,changi_dist,raffles_place_drive,one_north_drive,jurong_east_drive,orchard_drive,changi_drive
"(1.429899834, 103.833671)",34.92,45.33,40.87,30.88,65.3,33.48,38.83,37.03,29.95,39.68
"(1.431069706, 103.8363086)",36.4,45.73,42.35,32.37,54.32,34.13,40.7,40.12,30.6,40.33
"(1.414735356, 103.8347037)",35.97,45.3,48.85,31.93,53.88,29.0,35.57,35.52,25.47,35.2
"(1.426362176, 103.83715040000001)",39.35,48.68,51.67,35.32,58.93,30.48,37.05,37.13,26.95,36.68
"(1.437095581, 103.8327775)",41.58,50.92,42.78,37.55,63.37,35.37,40.67,37.7,31.82,41.57
"(1.4317831730000001, 103.83743840000001)",39.6,48.93,45.55,35.57,57.52,32.63,39.2,38.62,29.1,38.83
"(1.426157266, 103.8274494)",42.85,52.18,52.05,38.82,63.8,33.2,38.65,36.85,29.63,39.37
"(1.421379458, 103.8320547)",37.03,46.37,49.92,33.0,54.95,29.25,35.82,35.88,25.7,35.43
"(1.427674645, 103.83773149999999)",39.15,48.48,45.1,35.12,57.07,30.8,37.37,37.45,27.2,36.93
"(1.4147322869999999, 103.837339)",39.37,48.7,53.9,35.33,57.28,30.28,36.85,36.8,26.75,36.48
"(1.429654211, 103.8308899)",38.82,48.15,44.77,34.78,56.73,32.47,38.5,36.7,28.93,38.67
"(1.427737475, 103.8456859)",42.25,51.58,50.92,38.22,72.63,33.17,40.8,40.87,29.62,40.1
"(1.419666881, 103.8348907)",35.62,46.03,48.5,31.58,66.0,31.47,38.03,38.1,27.92,37.65
"(1.3767110530000002, 103.8411682)",31.78,43.98,63.22,27.75,53.85,21.73,26.15,29.88,18.18,35.18
"(1.371402396, 103.85484579999999)",29.1,39.52,56.15,25.07,59.82,17.88,26.18,29.67,14.35,31.33
"(1.38020079, 103.8357557)",32.32,44.02,63.75,28.28,60.88,22.4,26.35,30.08,18.83,35.83
"(1.3654449519999998, 103.842715)",26.2,35.15,47.3,22.17,49.52,19.52,23.15,26.88,15.78,32.97
"(1.3684840619999998, 103.8554681)",27.2,39.7,54.25,23.17,58.55,18.18,25.02,28.75,14.63,31.63
"(1.369894989, 103.84205899999999)",26.1,36.52,53.42,22.07,56.48,18.92,22.97,26.7,16.32,33.32
"(1.382651847, 103.84085809999999)",30.52,40.93,57.07,26.48,60.9,22.45,26.92,30.65,18.9,35.75
"(1.361579127, 103.8538054)",24.25,34.27,46.68,20.22,45.28,16.77,24.18,27.92,13.23,30.22
"(1.3675277630000002, 103.8574096)",30.32,37.62,49.77,26.28,48.23,18.47,26.03,29.77,14.93,31.93
"(1.3674419009999998, 103.8563966)",28.48,38.3,50.45,24.45,48.92,18.9,25.73,29.47,15.37,32.35
"(1.377506269, 103.8405572)",29.38,39.8,62.17,25.35,58.3,21.07,25.47,29.2,17.52,34.52
"(1.369705635, 103.84351600000001)",28.32,38.68,50.83,24.28,53.05,20.52,24.57,28.3,15.07,32.07
"(1.364946014, 103.8540434)",25.92,35.93,48.35,21.88,46.95,17.78,25.18,28.92,14.23,31.23
"(1.366649726, 103.8501337)",26.98,37.4,55.63,22.95,57.37,17.67,23.92,27.65,14.13,31.13
"(1.3703979169999998, 103.84187879999999)",28.57,38.98,56.35,24.53,58.95,19.67,23.72,27.45,16.38,33.37
"(1.375722647, 103.8371233)",32.4,42.82,62.03,28.37,57.25,22.37,26.78,30.52,18.82,35.82
"(1.3705776580000002, 103.8578546)",30.82,43.48,60.48,26.78,60.63,19.07,27.37,30.85,15.53,32.52
"(1.380361872, 103.84233459999999)",27.4,37.82,52.97,23.37,57.78,22.0,26.57,30.3,18.45,35.45
"(1.37056144, 103.85482309999999)",27.78,38.2,54.83,23.75,58.73,17.68,25.98,29.47,14.15,31.15
"(1.3694804680000001, 103.8533098)",25.83,36.25,54.48,21.8,56.22,17.13,23.92,27.65,13.58,30.58
"(1.367052844, 103.8469874)",28.53,37.6,49.75,24.5,51.97,19.02,23.15,26.88,15.48,32.48
"(1.36789987, 103.8468874)",26.18,36.6,54.83,22.15,56.57,18.95,23.4,27.13,15.42,32.4
"(1.381582081, 103.8432735)",25.48,35.9,52.4,21.45,55.87,23.02,27.58,31.32,19.47,36.47
"(1.3647659859999999, 103.8469079)",29.27,36.57,48.72,25.23,47.18,18.8,23.48,27.22,15.25,32.25
"(1.3671828769999999, 103.83664)",31.62,40.95,57.93,27.58,52.65,19.55,23.35,27.08,15.98,33.0
"(1.375848226, 103.8361572)",33.95,44.37,64.08,29.92,58.8,22.68,27.1,30.83,19.13,36.13
"(1.377943524, 103.8404792)",30.82,44.2,61.52,26.78,58.62,21.07,25.47,29.2,17.52,34.52
"(1.377517097, 103.8380532)",29.87,42.75,61.3,25.83,56.3,21.67,26.08,29.82,18.12,35.12
"(1.370650098, 103.8394103)",28.07,38.48,60.85,24.03,55.25,20.18,24.23,27.97,16.67,33.67
"(1.3747329119999998, 103.8356827)",33.67,44.08,63.8,29.63,58.52,22.03,25.85,29.58,18.47,35.48
"(1.3640680790000002, 103.8516123)",26.15,37.58,49.78,22.12,48.25,18.43,24.8,28.53,14.88,31.88
"(1.369441594, 103.8464882)",26.2,36.62,54.85,22.17,56.58,18.3,22.95,26.68,14.8,31.8
"(1.377463413, 103.83913009999999)",32.7,43.12,60.88,28.67,54.68,21.63,26.05,29.78,18.1,35.1
"(1.328647794, 103.9244954)",23.38,46.02,58.02,33.65,18.82,20.38,28.32,30.48,16.83,18.2
"(1.321397663, 103.9397304)",31.88,54.75,66.0,41.13,19.05,20.45,31.33,35.57,21.95,16.77
"(1.3279740740000001, 103.9379441)",31.08,54.22,68.0,42.33,17.95,22.83,31.03,33.2,19.57,16.92
"(1.332334683, 103.9380513)",29.63,52.5,65.72,40.88,17.18,23.25,31.18,33.33,19.7,17.28
"(1.330995226, 103.93724399999999)",29.95,52.82,66.03,41.2,19.43,22.68,30.62,32.77,19.13,16.7
"(1.324539821, 103.92671170000001)",24.85,47.47,58.6,33.73,20.17,23.55,31.73,33.9,20.27,20.78
"(1.3297289959999998, 103.9380813)",31.85,54.72,66.72,43.1,18.92,22.97,31.03,33.18,19.25,16.82
"(1.317890918, 103.94633859999999)",29.85,52.25,66.52,41.1,17.02,20.68,31.38,37.72,23.78,14.92
"(1.327443433, 103.9363324)",29.42,52.28,62.75,40.67,22.12,22.8,31.12,33.28,19.87,17.1
"(1.332149272, 103.9404499)",32.28,54.68,68.78,43.53,20.45,23.17,31.28,33.45,20.27,17.68
"(1.331327598, 103.9284682)",27.72,50.58,60.58,35.72,22.0,22.67,30.58,32.75,17.98,18.47
"(1.33714404, 103.9284338)",33.38,56.52,64.37,47.57,24.32,24.75,32.67,34.83,21.2,18.55
"(1.335998992, 103.9362745)",34.03,57.17,67.3,48.85,23.72,23.45,31.37,33.53,19.83,17.18
"(1.334881942, 103.91177890000002)",31.32,51.38,62.92,44.22,26.32,20.65,28.57,30.73,17.07,20.65
"(1.329973112, 103.9375717)",31.42,51.68,66.18,41.32,20.3,22.4,30.47,32.63,19.0,16.57
"(1.333087263, 103.9084048)",30.12,52.08,66.57,43.27,26.97,19.33,27.25,29.42,15.83,20.15
"(1.324225073, 103.9220219)",25.48,48.1,59.5,38.77,20.92,22.82,30.87,33.03,19.4,20.05
"(1.329860866, 103.9354238)",23.8,46.43,58.43,34.07,18.95,21.85,29.92,32.08,18.02,15.6
"(1.3181424240000001, 103.9318632)",26.03,48.65,60.05,35.18,21.47,18.32,29.22,32.8,19.27,14.6
"(1.336292448, 103.9261017)",38.25,60.62,69.23,52.25,27.12,23.42,31.33,33.5,19.87,17.68
"(1.336517463, 103.92432240000001)",37.55,58.85,68.53,51.27,30.6,22.58,30.52,32.68,19.05,17.85
"(1.334759317, 103.9087091)",26.65,48.93,53.88,39.8,25.38,19.98,27.92,30.08,16.45,20.78
"(1.3628703219999998, 103.83360400000001)",32.92,36.02,48.17,28.88,52.87,21.58,22.12,25.85,15.75,35.1
"(1.348665645, 103.8509772)",26.27,29.5,41.38,22.23,41.58,17.02,20.93,24.67,13.47,30.3
"(1.346714989, 103.8473984)",24.53,31.92,43.8,20.5,44.27,17.82,21.85,25.58,14.27,31.12
"(1.350121705, 103.83794240000002)",24.97,25.8,37.42,20.93,42.88,20.82,20.75,24.48,13.37,32.93
"(1.346810298, 103.8490411)",25.13,30.0,41.88,21.1,43.73,16.33,20.37,24.1,12.8,29.63
"(1.3455757480000001, 103.85094509999999)",24.75,30.3,44.02,20.72,44.03,16.02,21.95,25.68,12.48,29.32
"(1.36108498, 103.84463559999999)",27.05,34.35,49.62,23.02,44.97,19.88,22.07,25.8,14.7,33.33
"(1.358437579, 103.84388630000001)",28.23,35.53,47.17,24.2,46.15,19.67,22.75,26.48,15.02,33.52
"(1.36166764, 103.8427432)",26.82,29.88,43.6,22.78,44.73,19.25,21.42,25.15,14.07,32.7
"(1.346787771, 103.85370999999999)",26.12,29.22,42.93,22.08,42.95,16.07,22.8,26.53,12.52,29.37
"(1.359004909, 103.8470066)",27.7,35.0,46.63,23.67,45.62,20.15,23.08,26.82,15.7,33.62
"(1.358442054, 103.8482639)",31.08,38.8,57.03,27.05,49.57,19.67,22.75,26.48,16.13,33.13
"(1.361341729, 103.84487469999999)",28.18,35.48,50.75,24.15,46.1,19.9,22.07,25.8,14.7,33.33
"(1.347483176, 103.8535437)",25.43,30.17,43.88,21.4,43.9,15.5,22.22,25.95,11.95,28.8
"(1.357608462, 103.8459629)",23.03,30.33,44.05,19.0,44.07,19.25,22.33,26.07,15.72,32.7
"(1.3571782209999999, 103.848153)",26.93,34.23,49.5,22.9,44.85,19.13,22.22,25.95,15.6,32.58
"(1.361910207, 103.84417059999998)",28.58,33.0,62.88,24.55,46.5,19.97,22.15,25.88,14.77,33.42
"(1.359174924, 103.8466599)",27.87,35.17,46.8,23.83,45.78,20.12,23.03,26.77,15.67,33.57
"(1.35857466, 103.829748)",33.45,32.25,44.13,30.18,49.1,22.38,21.37,25.1,14.98,34.55
"(1.346852675, 103.8540991)",25.1,28.2,41.92,21.07,41.93,16.07,22.8,26.53,10.93,27.78
"(1.3621647280000002, 103.7476281)",38.22,32.22,18.47,43.2,71.87,29.28,21.18,7.13,26.0,45.53
"(1.363233345, 103.7459885)",42.05,36.05,17.87,42.6,75.7,30.3,22.2,8.17,27.02,46.57
"(1.351965603, 103.75498370000001)",35.27,28.83,15.28,35.77,64.98,26.18,18.08,5.28,22.43,41.97
"(1.3583228680000001, 103.7501296)",35.53,28.4,18.13,39.97,69.18,28.63,20.53,6.5,25.37,44.9
"(1.351055493, 103.7570803)",38.15,33.15,15.08,34.85,65.83,26.22,18.12,5.67,21.88,41.42
"(1.351856129, 103.7460768)",37.8,30.67,11.0,39.55,68.77,27.28,19.18,5.15,24.75,44.28
"(1.35048816, 103.7541778)",33.88,27.45,13.05,36.65,67.53,26.2,18.1,6.25,22.9,42.45
"(1.364928925, 103.7483655)",40.88,34.88,16.72,42.45,71.67,30.47,22.37,8.33,27.18,46.73
"(1.363126337, 103.74741850000001)",40.58,34.58,16.4,42.13,71.35,30.42,22.32,8.28,26.83,46.37
"(1.348757884, 103.7594517)",37.23,38.72,20.98,33.93,64.73,25.88,17.78,6.88,21.55,41.08
"(1.362830155, 103.7478342)",39.97,33.97,17.78,42.52,73.08,29.73,21.63,7.6,26.47,46.0
"(1.34677497, 103.75333590000001)",37.1,29.97,12.68,38.32,68.42,25.78,17.68,4.83,22.33,41.88
"(1.347810885, 103.7466088)",36.73,29.6,8.87,37.72,70.38,26.93,18.83,4.8,25.03,44.58
"(1.3461002119999999, 103.74022959999999)",40.38,36.83,14.85,40.45,69.67,27.25,19.15,5.38,24.08,43.63
"(1.346344075, 103.7417421)",41.08,33.93,13.32,40.3,69.52,26.82,18.72,4.68,23.75,43.28
"(1.3450426030000002, 103.75878409999999)",35.73,28.6,16.25,33.17,63.27,24.97,16.87,7.57,21.52,41.05
"(1.35073333, 103.7462613)",37.9,30.75,10.22,42.17,71.55,27.05,18.95,4.92,24.65,44.18
"(1.347329959, 103.7473436)",35.08,28.65,9.3,38.15,68.73,26.57,18.47,4.42,24.53,44.07
"(1.351381128, 103.7485853)",37.03,29.9,13.48,39.83,70.68,26.4,18.3,4.25,23.52,43.05
"(1.3493364230000002, 103.75596350000001)",39.32,33.05,16.37,37.33,67.43,25.27,17.17,6.28,21.98,41.53
"(1.345592352, 103.7447894)",38.07,32.6,11.28,39.08,68.3,26.25,18.15,4.1,24.42,43.95
"(1.3434016119999999, 103.75918850000001)",34.25,27.12,23.1,31.68,61.78,25.23,17.13,7.98,21.98,41.52
"(1.349705366, 103.7484032)",34.32,27.88,10.67,37.87,67.97,26.7,18.6,4.57,24.17,43.7
"(1.353980851, 103.7527782)",39.93,32.78,20.42,42.03,73.58,27.7,19.6,7.17,24.0,43.53
"(1.3549707569999998, 103.7503995)",39.18,32.03,21.67,42.55,72.83,28.03,19.93,7.37,24.6,44.15
"(1.274383638, 103.80874179999999)",21.32,23.88,43.63,29.28,54.97,12.73,13.28,21.67,14.15,35.42
"(1.289442681, 103.8262014)",10.37,21.15,32.28,22.73,44.02,6.45,11.48,20.68,6.93,31.6
"(1.280277649, 103.82572359999999)",17.85,30.72,34.87,25.9,47.95,9.13,11.55,19.95,9.62,30.88
"(1.2770770679999999, 103.83142590000001)",16.15,34.02,42.67,29.4,48.43,6.63,13.17,21.57,10.88,31.43
"(1.274896709, 103.8086953)",22.15,24.72,44.47,30.12,55.8,12.62,13.17,21.55,14.05,35.32
"(1.273476841, 103.8068103)",22.47,25.03,48.33,30.43,56.12,13.83,13.3,21.68,15.25,36.52
"(1.28748905, 103.81171409999999)",19.73,27.17,37.9,35.82,53.38,10.58,10.3,19.48,11.12,34.42
"(1.272483013, 103.824703)",18.1,29.3,40.97,28.92,51.75,9.15,12.8,21.2,12.45,31.88
"(1.279426714, 103.8260869)",18.68,31.27,35.42,26.73,48.78,9.75,12.18,20.57,10.25,31.52
"(1.275159158, 103.81013850000001)",22.6,25.17,44.03,30.57,56.25,12.5,13.5,21.9,13.83,35.1
"(1.273804157, 103.82705770000001)",18.52,27.3,38.63,36.13,50.12,10.68,12.57,20.97,12.22,32.35
"(1.283092071, 103.8255924)",13.2,24.9,35.25,26.17,46.85,7.72,12.92,21.3,10.12,33.23
"(1.271747245, 103.8225083)",18.2,29.03,41.82,27.53,51.85,10.28,12.37,20.75,12.02,32.15
"(1.277909847, 103.8225358)",16.75,27.58,39.2,27.83,50.4,12.77,15.43,23.82,14.12,35.22
"(1.271782149, 103.81060579999999)",17.45,20.02,36.7,26.65,51.1,13.83,13.25,21.63,15.25,36.52
"(1.287151475, 103.81183270000001)",19.17,26.6,36.88,35.25,52.82,11.63,10.15,19.32,12.22,34.27
"(1.275801013, 103.83903259999998)",12.7,29.47,36.25,24.07,45.22,6.02,15.62,24.02,12.4,30.0
"(1.281489151, 103.82767199999999)",17.3,29.0,34.47,26.25,45.93,7.73,12.68,21.08,10.58,32.02
"(1.377596852, 103.7672272)",34.1,35.58,29.07,29.92,61.78,29.23,24.52,14.47,21.87,41.4
"(1.37452837, 103.7728671)",45.62,39.27,37.03,41.23,65.47,27.97,23.67,14.72,20.6,40.15
"(1.377902, 103.7674123)",35.02,36.5,29.98,30.83,62.7,28.98,24.27,14.22,21.6,41.15
"(1.386039755, 103.7701963)",52.23,39.25,37.77,35.35,65.45,30.35,26.05,17.02,23.52,43.05
"(1.383807218, 103.77270970000001)",53.83,39.6,37.93,35.7,65.8,29.77,25.47,17.08,22.45,42.0
"(1.3831968669999999, 103.7684541)",48.28,39.9,37.97,36.0,66.1,30.28,25.98,16.95,22.9,42.45
"(1.384955091, 103.7676795)",42.33,40.7,38.77,36.8,66.9,30.83,26.53,15.83,23.45,43.0
"(1.3764951980000002, 103.77421)",44.08,41.25,34.5,40.48,68.23,27.03,22.72,15.7,19.65,39.2
"(1.385459248, 103.7705051)",52.27,38.53,36.87,34.63,64.73,30.17,25.87,16.83,22.9,42.43
"(1.387043733, 103.76898359999998)",39.95,38.32,36.83,34.42,64.52,31.17,26.87,16.88,23.8,43.33
"(1.384822072, 103.7611819)",39.1,37.47,35.98,33.57,63.67,30.87,25.58,14.68,23.52,43.07
"(1.3824515380000002, 103.7634792)",35.87,37.35,33.33,32.57,63.55,29.93,25.07,14.12,22.73,42.27
"(1.383696616, 103.77209559999999)",52.92,38.68,37.02,34.78,64.88,29.88,25.58,17.18,22.47,42.02
"(1.3882916459999999, 103.7728948)",53.3,46.08,42.03,46.88,77.45,29.57,25.27,16.97,22.2,41.73
"(1.3831005619999999, 103.767566)",47.27,41.9,39.97,38.0,68.1,29.68,25.38,16.17,22.32,41.85
"(1.374049157, 103.76888509999999)",36.73,38.22,31.82,33.43,64.42,29.2,24.6,14.53,21.83,41.37
"(1.3788536569999998, 103.7647756)",37.17,38.65,32.28,33.87,64.85,29.48,24.08,13.7,22.1,41.65
"(1.3228008629999999, 103.8110235)",22.9,21.57,39.8,17.83,47.47,17.27,10.78,17.05,9.82,33.83
"(1.339571753, 103.7746782)",28.33,29.82,23.12,23.27,52.9,24.33,15.85,9.88,16.97,36.5
"(1.3390870259999998, 103.7725693)",30.95,32.43,23.18,25.88,55.52,25.22,16.73,10.58,17.85,37.38
"(1.300527362, 103.8538233)",6.43,29.65,40.53,19.72,32.7,6.12,17.42,25.82,6.75,25.33
"(1.3081591670000001, 103.8551478)",16.58,30.78,46.98,23.82,37.27,8.65,19.88,26.8,7.28,26.57
"(1.306060391, 103.8551088)",13.48,30.02,45.17,15.53,36.33,9.33,20.57,27.42,7.97,27.25
"(1.3779393180000001, 103.75091540000001)",37.85,36.22,24.12,32.32,62.42,33.18,27.33,14.95,25.8,45.35
"(1.37870362, 103.7397957)",46.58,40.68,32.55,41.93,71.15,34.58,26.48,12.87,27.87,47.42
"(1.3814841340000001, 103.7445335)",42.87,34.85,26.68,36.85,66.95,34.82,28.03,14.53,27.22,46.75
"(1.390305083, 103.7430879)",49.2,42.57,26.28,50.75,80.82,34.37,29.98,17.1,27.0,46.53
"(1.4034942819999998, 103.7486772)",49.2,43.73,25.08,58.55,80.82,35.57,31.27,18.48,28.2,47.73
"(1.380388526, 103.7395195)",47.82,42.6,32.97,44.87,76.32,34.95,26.85,13.22,27.98,47.53
"(1.379423241, 103.73518370000001)",48.25,41.32,34.85,44.37,73.17,36.73,28.63,15.02,29.9,49.45
"(1.38032443, 103.74259980000001)",44.0,38.2,29.47,38.47,68.57,35.3,27.2,13.58,28.07,47.6
"(1.3746181080000002, 103.738365)",44.05,37.42,29.28,46.17,75.67,35.83,27.73,14.12,29.93,49.47
"(1.379872279, 103.7446056)",37.97,34.13,29.53,34.67,65.65,34.4,27.63,14.13,27.03,46.57
"(1.379815812, 103.7482096)",37.87,37.38,27.2,34.57,65.55,33.43,26.65,13.15,26.05,45.6
"(1.378518984, 103.7496307)",37.07,36.58,26.73,33.77,64.75,34.5,27.87,14.37,27.13,46.68
"(1.401949268, 103.7448565)",48.25,41.32,28.45,63.07,79.87,35.98,31.52,18.63,28.67,48.2
"(1.4025105390000001, 103.7452912)",51.5,45.9,25.62,59.08,83.12,35.82,31.33,18.47,28.52,48.05
"(1.400828161, 103.75056550000001)",46.9,39.97,27.1,60.88,78.52,35.5,31.18,18.4,28.68,48.22
"(1.3958203530000002, 103.7477526)",42.62,34.6,19.97,55.05,76.27,34.87,30.57,17.77,27.48,47.03
"(1.382525506, 103.74793709999999)",42.23,33.45,19.58,38.63,68.73,35.43,28.67,15.17,28.07,47.6
"(1.397802538, 103.7496233)",43.07,35.05,20.42,55.5,76.72,35.22,30.92,18.13,27.85,47.38
"(1.384098307, 103.745499)",39.95,32.8,17.3,38.53,68.63,34.55,27.88,14.38,27.48,47.03
"(1.404678619, 103.74631490000002)",47.38,40.45,27.58,62.2,79.0,36.13,31.83,19.05,28.77,48.3
"(1.403183777, 103.7518731)",51.82,45.37,25.08,58.55,83.43,36.53,32.23,19.45,29.17,48.72
"(1.404511017, 103.7501613)",46.72,39.78,26.92,61.53,78.33,35.38,31.08,18.28,28.0,47.55
"(1.403637377, 103.7481769)",50.0,44.53,24.28,57.75,81.62,35.52,31.22,18.43,28.15,47.68
"(1.3774854509999999, 103.75192129999999)",38.2,39.68,25.45,34.9,65.88,33.42,27.58,15.2,26.05,45.58
"(1.4040060840000002, 103.7467671)",52.25,45.8,25.52,58.98,83.87,37.07,32.77,19.98,29.7,49.23
"(1.391317675, 103.7459308)",42.68,34.9,20.03,44.88,76.33,34.42,30.12,17.33,27.05,46.58
"(1.37962407, 103.7455301)",42.33,36.53,30.05,36.8,66.9,33.62,26.85,13.35,26.25,45.78
"(1.4024394409999998, 103.7499206)",47.82,42.35,25.82,59.28,79.43,35.3,31.0,18.22,27.93,47.47
"(1.378937134, 103.7350388)",48.13,41.2,34.6,44.25,73.05,36.95,28.85,15.23,30.2,49.73
"(1.378720938, 103.7429237)",41.83,37.13,32.22,37.18,66.4,35.03,27.07,13.43,27.67,47.2
"(1.393171515, 103.7461337)",44.42,37.48,24.62,46.0,76.03,33.45,29.15,16.37,26.12,45.65
"(1.380254434, 103.74321440000001)",42.65,36.85,28.85,37.12,67.22,36.48,28.38,14.77,29.12,48.67
"(1.393218591, 103.7467408)",45.18,38.25,25.38,46.12,76.8,33.7,29.4,16.6,26.32,45.87
"(1.395509378, 103.7447329)",45.32,38.38,22.4,58.83,76.93,34.77,30.17,17.28,27.38,46.93
"(1.391559178, 103.740845)",47.12,40.18,23.32,46.58,78.03,34.3,29.9,17.02,26.93,46.48
"(1.31380878, 103.76301720000001)",24.75,16.83,21.58,26.53,58.4,19.22,11.12,11.38,22.23,41.55
"(1.3130671809999999, 103.76733929999999)",26.33,21.32,23.5,28.12,59.98,16.7,8.6,11.13,19.72,39.05
"(1.3135388609999998, 103.76547629999999)",22.17,17.15,19.02,26.18,55.82,17.62,9.52,11.3,20.68,40.0
"(1.314238622, 103.76311640000002)",24.9,16.98,21.73,26.68,58.55,17.85,9.75,10.02,20.85,40.18
"(1.309456122, 103.7699188)",29.67,27.88,27.57,36.9,63.32,18.13,9.05,12.67,20.42,40.4
"(1.309959001, 103.7602103)",28.23,21.12,24.62,30.9,61.88,19.75,11.65,11.57,21.42,40.75
"(1.313391265, 103.768688)",24.68,21.03,26.8,30.45,58.33,16.75,8.65,11.18,19.68,39.02
"(1.312269291, 103.7664304)",26.42,21.4,19.88,28.2,60.07,19.22,11.12,11.6,22.23,41.57
"(1.3249150440000002, 103.8879968)",17.98,38.7,50.85,27.37,28.13,16.4,24.33,26.5,12.87,22.38
"(1.3089462490000001, 103.88838890000001)",14.03,41.97,51.0,24.73,27.65,12.68,25.15,28.32,14.68,21.18
"(1.32742995, 103.8856816)",20.33,40.72,48.4,29.38,32.98,16.75,25.9,28.35,14.07,22.72
"(1.3308309520000001, 103.8875078)",24.27,42.5,54.92,34.32,33.25,19.33,27.27,29.43,15.8,23.78
"(1.329043618, 103.8874381)",20.03,39.13,55.5,30.3,31.05,17.57,25.48,27.65,14.02,22.02
"(1.31170259, 103.8973795)",23.68,48.0,57.77,30.9,34.7,14.92,25.82,28.82,15.18,20.47
"(1.326433385, 103.90117)",25.0,45.47,62.23,35.22,30.32,19.3,27.23,29.38,15.77,21.52
"(1.32170329, 103.8861957)",19.92,42.55,54.55,33.27,31.85,14.82,25.93,28.1,14.5,22.82
"(1.311290912, 103.89770340000001)",23.92,48.17,58.0,32.03,34.93,14.98,25.88,28.88,15.25,20.5
"(1.316665447, 103.8803905)",14.0,36.48,48.37,23.62,27.58,13.58,25.4,27.9,14.23,23.47
"(1.313791315, 103.8952287)",19.72,43.97,57.37,31.63,29.97,14.62,25.65,27.82,14.18,21.2
"(1.3265066559999998, 103.9004921)",23.92,44.38,61.15,34.13,27.95,19.65,27.57,29.73,16.1,21.87
"(1.322600375, 103.8824632)",16.47,40.33,50.83,27.97,30.6,19.35,28.5,30.95,10.03,21.05
"(1.326139736, 103.9020736)",27.07,47.53,64.3,37.28,32.4,20.28,28.22,30.38,16.75,21.77
"(1.3222865590000001, 103.9027205)",19.88,42.22,54.52,28.27,25.47,17.98,26.62,28.78,15.15,20.1
"(1.31483627, 103.89663730000001)",20.15,44.4,57.8,32.67,28.05,14.92,25.95,28.12,14.48,21.72
"(1.317501461, 103.8982065)",19.85,42.18,53.6,31.88,24.63,16.45,27.48,29.63,15.95,21.52
"(1.329941101, 103.9033014)",28.48,44.75,57.17,38.65,26.32,19.53,27.45,29.62,15.98,21.0
"(1.322686619, 103.90350090000001)",20.87,45.35,60.33,31.13,26.45,17.83,25.77,27.93,14.3,19.25
"(1.321171644, 103.9017728)",18.0,40.33,52.63,26.38,23.58,19.02,27.18,29.35,15.73,20.68
"(1.307675732, 103.882412)",13.42,44.23,54.02,24.12,29.92,13.12,25.73,28.85,14.78,23.08
"(1.307870562, 103.8831922)",18.37,44.98,54.77,24.87,30.67,12.45,25.53,28.18,14.43,23.62
"(1.354007769, 103.8877484)",30.8,44.03,56.45,31.15,47.32,21.65,30.7,33.05,18.87,26.02
"(1.372116705, 103.88919270000001)",27.82,44.53,62.77,32.58,48.92,22.88,31.18,34.33,19.33,27.28
"(1.3730639230000001, 103.8838135)",33.9,48.1,66.17,36.13,54.35,22.55,30.85,34.33,19.02,29.55
"(1.367103491, 103.8947311)",28.52,45.17,61.75,33.22,49.73,24.4,32.7,35.25,20.87,27.97
"(1.359386697, 103.8866349)",24.7,38.23,50.77,26.4,42.62,20.63,28.93,31.48,17.27,27.35
"(1.3789374890000001, 103.8838571)",35.15,48.22,59.98,38.62,50.75,23.57,31.87,35.35,20.03,27.08
"(1.370212304, 103.8791162)",40.55,50.82,64.75,36.52,53.3,22.18,30.47,33.97,18.63,29.27
"(1.3696802190000001, 103.8983372)",33.88,48.58,64.1,36.48,50.93,24.35,33.32,35.75,21.47,27.75
"(1.366694185, 103.8890931)",28.72,42.93,59.92,36.0,46.28,22.17,30.45,33.95,18.62,28.23
"(1.377762881, 103.8962745)",34.73,50.3,65.55,38.2,45.47,24.67,33.9,36.07,22.08,24.62
"(1.377445765, 103.888178)",35.85,54.17,68.62,38.08,55.48,25.3,33.6,37.08,21.68,26.87
"(1.371545526, 103.8806199)",32.13,49.18,63.0,37.08,51.73,21.77,30.07,33.55,18.22,28.85
"(1.3717398109999999, 103.899)",27.78,41.32,62.98,32.48,52.22,24.97,33.25,35.82,21.42,26.9
"(1.3663385080000001, 103.8962051)",28.72,42.25,58.67,30.3,49.23,24.6,33.4,35.95,21.57,28.08
"(1.376295016, 103.88214599999999)",35.93,51.85,65.6,38.17,56.38,23.13,31.43,34.92,19.62,28.25
"(1.3754834759999999, 103.8812782)",33.08,45.53,66.57,40.38,53.53,22.5,30.8,34.28,18.95,27.85
"(1.373261148, 103.8946317)",30.77,44.3,56.72,32.35,49.53,24.13,32.42,34.98,20.88,25.62
"(1.354985765, 103.88855749999999)",30.28,44.12,56.53,32.12,48.28,21.45,30.33,32.83,18.03,31.42
"(1.362329634, 103.8900496)",29.15,45.67,61.57,33.72,50.05,20.92,29.22,31.77,17.37,27.77
"(1.3508529969999998, 103.8863299)",28.87,42.12,54.53,29.22,48.85,20.55,28.85,31.4,16.88,27.13
"(1.370517428, 103.8797836)",33.27,48.95,62.35,37.92,53.47,21.95,30.25,33.73,18.32,28.93
"(1.368613604, 103.88493790000001)",27.98,48.27,59.8,37.25,46.45,22.23,30.53,34.02,18.68,29.95
"(1.373424665, 103.89185690000001)",27.57,41.1,53.63,29.27,45.48,24.95,33.23,36.4,21.47,27.38
"(1.372858509, 103.89964870000001)",28.6,42.13,63.8,33.3,53.17,24.08,32.38,34.95,20.38,25.85
