coordinates,raffles_place_dist,one_north_dist,jurong_east_dist,orchard_dist,changi_dist,raffles_place_drive,one_north_drive,jurong_east_drive,orchard_drive,changi_drive
"(1.3228154429999999, 103.9354552)",30.72,55.2,71.17,39.6,26.03,20.35,31.25,34.62,20.75,17.28
"(1.32284177, 103.9360468)",31.4,54.58,68.48,40.28,21.9,20.22,31.12,34.22,20.58,16.58
"(1.32848132, 103.9406116)",28.3,51.43,65.57,39.55,15.47,22.1,31.48,33.65,20.02,16.17
"(1.327260072, 103.9408488)",31.93,54.8,68.02,41.73,15.02,23.28,32.52,34.68,20.85,16.02
"(1.333141064, 103.91252349999999)",30.87,50.35,66.03,42.23,30.95,20.67,28.6,30.77,17.13,21.47
"(1.335340885, 103.911905)",30.55,50.18,64.05,43.02,27.4,20.62,28.55,30.7,17.08,21.4
"(1.328915582, 103.9405287)",28.35,51.48,65.62,39.6,15.52,22.3,30.88,33.05,19.43,16.37
"(1.335636498, 103.9132694)",33.1,51.33,64.7,44.17,27.3,20.42,28.33,30.5,16.87,19.72
"(1.329258819, 103.93904640000001)",29.63,52.5,64.5,40.88,16.7,22.92,30.83,33.0,19.37,16.95
"(1.336608478, 103.9196138)",30.88,56.78,62.55,40.52,23.85,20.93,28.87,31.03,17.22,18.28
"(1.3326271509999998, 103.92817209999998)",27.77,50.63,60.63,35.77,22.05,23.75,31.68,33.85,20.2,18.97
"(1.329348987, 103.91158320000001)",31.02,52.27,68.28,45.75,33.0,20.63,28.55,30.72,17.07,21.4
"(1.333400122, 103.9325194)",30.07,52.93,61.33,41.32,24.17,22.9,30.82,32.98,19.37,16.93
"(1.335972774, 103.924883)",31.92,54.78,68.0,52.8,28.43,23.12,31.03,33.2,19.57,18.38
"(1.3357061190000001, 103.9363386)",32.03,54.9,66.93,43.28,25.23,23.43,31.35,33.52,19.88,17.25
"(1.3272757240000002, 103.92480359999999)",22.7,45.33,57.33,32.97,18.13,20.57,28.48,30.65,17.07,18.33
"(1.326237253, 103.94082759999999)",26.7,49.32,64.35,39.98,15.9,22.18,32.57,34.72,21.1,16.27
"(1.324058778, 103.9113038)",21.85,44.48,56.48,32.12,23.4,20.17,29.47,31.63,17.75,20.27
"(1.325477105, 103.9343482)",27.5,51.98,63.98,36.38,17.4,21.55,31.38,33.55,19.92,17.5
"(1.33000184, 103.912464)",30.78,52.03,68.05,45.52,32.82,20.03,27.95,30.12,16.48,20.82
"(1.326473555, 103.9222838)",27.35,50.28,61.1,36.23,23.87,21.47,29.4,31.55,17.93,19.22
"(1.33207913, 103.9087571)",29.78,49.27,62.82,41.15,28.07,20.18,28.12,30.28,16.65,20.98
"(1.329649995, 103.9302606)",23.65,46.28,58.28,33.92,19.08,22.08,30.0,32.17,18.53,18.13
"(1.336072095, 103.9348306)",30.97,53.83,64.37,45.92,22.67,22.53,30.47,32.63,19.12,16.48
"(1.324306049, 103.92162540000001)",26.1,48.72,60.12,39.38,21.53,22.77,30.82,32.98,19.35,20.0
"(1.3369543940000002, 103.9289606)",33.97,57.1,64.95,48.15,24.9,24.5,32.42,34.58,20.62,17.97
"(1.336636993, 103.9282078)",34.47,57.6,65.45,48.65,25.4,23.7,31.63,33.78,20.15,17.52
"(1.324855984, 103.9335196)",25.62,48.23,59.37,34.5,17.52,22.45,32.27,34.43,20.75,18.32
"(1.332101322, 103.9049532)",29.3,48.67,63.05,39.47,29.62,18.93,26.85,29.02,15.38,19.72
"(1.31925983, 103.94520290000001)",28.52,50.92,65.55,39.77,15.68,20.6,31.5,37.65,24.5,15.63
"(1.333614296, 103.9426283)",33.05,55.45,66.42,44.2,25.2,23.9,31.83,34.0,20.33,16.63
"(1.357284441, 103.83939670000001)",34.15,37.15,55.38,30.12,49.48,21.03,20.03,23.77,13.92,33.48
"(1.363453206, 103.8342146)",31.67,33.38,45.27,27.63,50.23,20.7,22.82,26.55,15.43,34.15
"(1.3458949359999999, 103.84736529999999)",24.53,31.58,44.83,20.5,45.32,18.28,22.32,26.05,14.68,31.52
"(1.347252245, 103.8554647)",26.27,31.57,45.43,22.23,45.3,15.62,22.35,26.08,12.07,28.92
"(1.3470675269999999, 103.8480637)",25.08,31.37,43.25,21.05,44.77,17.05,21.08,24.82,13.52,30.35
"(1.349138096, 103.8528785)",28.12,29.18,42.9,24.08,42.92,15.98,22.02,25.75,12.43,29.28
"(1.348863451, 103.85522579999999)",25.07,29.48,43.2,21.03,43.22,16.7,23.43,27.17,13.17,30.0
"(1.346750596, 103.8479902)",25.08,32.12,44.0,21.05,44.77,17.17,21.2,24.93,13.63,30.47
"(1.3479183890000002, 103.84875009999999)",22.75,30.83,42.72,18.72,42.92,17.62,21.65,25.38,14.2,31.03
"(1.3596137680000002, 103.8421874)",31.2,29.15,42.87,26.17,46.0,20.47,22.8,26.53,15.42,33.92
"(1.35673539, 103.8435198)",27.62,34.92,46.55,23.58,45.53,18.78,21.87,25.6,15.32,32.7
"(1.357511897, 103.8483034)",27.58,34.88,50.15,23.55,45.5,19.23,22.32,26.05,15.7,32.68
"(1.350205825, 103.85304920000002)",28.67,30.42,42.3,24.63,42.5,16.05,22.08,25.82,12.85,29.7
"(1.35840617, 103.8314316)",35.22,34.75,46.9,31.95,51.6,21.72,20.72,24.45,14.28,33.85
"(1.362768866, 103.8327589)",31.5,35.82,47.97,27.47,49.42,21.23,21.77,25.5,15.35,34.72
"(1.34608832, 103.85046679999999)",24.4,32.25,44.13,20.37,45.38,16.15,20.78,24.52,12.6,29.45
"(1.349769429, 103.8384765)",23.98,24.82,36.43,19.95,41.9,21.07,21.0,24.73,13.63,33.2
"(1.357468051, 103.84643270000001)",26.28,33.58,45.22,22.25,44.2,18.92,22.0,25.73,15.38,32.37
"(1.345411048, 103.8520798)",23.37,31.83,47.08,19.33,45.57,15.47,21.4,25.13,11.92,28.77
"(1.362583231, 103.74857490000001)",38.55,32.55,20.25,43.83,72.2,31.75,23.65,9.62,28.48,48.02
"(1.3561819919999998, 103.7510934)",37.95,30.82,21.77,42.38,71.6,28.73,20.63,6.6,25.25,44.78
"(1.349973055, 103.7437249)",37.93,31.93,11.12,41.97,71.28,27.13,19.03,5.28,23.75,43.28
"(1.3566514680000001, 103.7510918)",37.02,29.88,20.83,41.45,70.67,29.32,21.22,7.18,25.73,45.28
"(1.355115164, 103.7508779)",38.6,31.45,21.13,42.75,72.25,28.42,20.32,6.38,24.48,44.02
"(1.346818455, 103.7524969)",36.17,29.03,11.75,37.05,66.27,25.62,17.52,4.67,22.32,41.87
"(1.347207298, 103.7549997)",34.45,28.02,15.57,36.53,68.1,24.78,16.68,5.1,21.48,41.02
"(1.348483521, 103.7563004)",37.83,30.7,14.02,33.98,64.97,24.87,16.77,5.87,21.57,41.1
"(1.35106126, 103.7458574)",38.22,33.3,10.03,41.18,71.87,27.18,19.08,5.05,24.47,44.0
"(1.347192811, 103.7522173)",37.38,30.25,10.88,39.97,71.03,25.77,17.67,4.82,22.48,42.02
"(1.362471404, 103.7505611)",38.9,31.75,19.73,41.1,72.55,31.62,23.52,9.48,28.33,47.88
"(1.3487333780000001, 103.7531743)",36.12,28.98,10.92,36.68,69.77,25.72,17.62,4.53,22.42,41.95
"(1.349969437, 103.7564978)",39.68,32.53,16.08,36.6,65.82,26.43,18.33,6.27,22.27,41.8
"(1.346607336, 103.7409093)",40.48,33.33,14.78,38.93,68.15,26.85,18.75,4.72,23.55,43.1
"(1.3477355830000002, 103.743984)",39.32,32.63,10.92,38.25,67.47,25.9,17.8,3.75,24.0,43.53
"(1.3509125919999998, 103.75902109999998)",36.82,38.3,16.58,33.52,64.5,26.48,18.38,7.72,22.13,41.68
"(1.3610670480000002, 103.7506254)",36.43,29.3,20.25,40.87,70.08,29.98,21.88,7.85,26.55,46.08
"(1.3467339219999999, 103.7547278)",38.32,32.73,15.03,37.02,67.12,25.02,16.92,5.33,21.72,41.25
"(1.346054606, 103.7426059)",40.05,32.9,13.48,38.52,67.73,26.48,18.38,4.35,23.88,43.43
"(1.3500084019999998, 103.75986280000001)",37.47,38.95,18.68,34.17,65.15,25.53,17.43,6.77,21.18,40.73
"(1.35159087, 103.74450959999999)",37.02,29.87,12.33,40.62,69.83,27.27,19.17,5.13,24.63,44.18
"(1.356769427, 103.74877430000001)",39.0,31.85,15.8,41.2,70.73,28.28,20.18,6.15,24.98,44.52
"(1.3441702930000001, 103.7594314)",35.18,28.05,16.35,32.62,62.72,24.52,16.42,7.27,21.1,40.63
"(1.3491826980000001, 103.7572392)",37.78,30.63,15.62,34.97,64.18,24.88,16.78,5.83,21.65,41.18
"(1.350258841, 103.7566047)",40.3,33.15,15.68,35.53,64.75,26.43,18.33,6.27,22.48,42.02
"(1.3444115030000001, 103.7574615)",36.7,33.98,13.28,34.13,64.23,26.13,18.03,6.97,22.95,42.48
"(1.366316899, 103.75228759999999)",40.68,33.53,22.13,43.45,74.33,30.45,22.35,8.32,26.67,46.22
"(1.349006479, 103.7517067)",32.38,25.95,10.0,35.93,66.03,27.75,19.65,5.92,24.45,44.0
"(1.347081585, 103.744924)",36.37,31.42,13.77,37.03,66.25,25.55,17.45,3.42,23.65,43.18
"(1.348222309, 103.74718850000001)",35.15,28.72,10.23,38.7,68.8,27.2,19.1,5.05,24.47,44.02
"(1.345480082, 103.7499561)",35.83,28.7,9.38,36.37,69.48,25.83,17.73,3.7,21.87,41.42
"(1.3639394219999998, 103.75255600000001)",38.23,31.08,22.78,42.93,71.88,29.85,21.75,7.7,26.15,45.68
"(1.3664231119999999, 103.7526886)",41.47,34.32,22.92,44.23,75.12,30.72,22.62,8.58,26.9,46.43
"(1.34538562, 103.7460455)",36.38,29.25,9.08,38.65,70.03,25.53,17.43,3.4,23.63,43.17
"(1.346671926, 103.7493835)",33.0,26.57,9.02,36.55,66.65,26.35,18.25,4.22,23.4,42.95
"(1.346802134, 103.7503002)",34.5,28.07,10.52,36.5,68.15,26.12,18.02,4.1,22.52,42.07
"(1.365853749, 103.7527285)",44.5,38.57,21.95,43.27,74.72,31.18,23.08,9.03,27.4,46.93
"(1.3471217290000002, 103.7500573)",33.42,26.98,9.43,36.97,67.07,26.12,18.02,4.1,22.63,42.18
"(1.3460089430000002, 103.74442359999999)",38.37,33.42,12.45,39.5,68.72,26.22,18.12,4.08,24.23,43.78
"(1.3513414609999999, 103.74950859999998)",36.52,29.38,11.57,37.85,70.17,27.52,19.42,5.38,24.42,43.95
"(1.343178552, 103.7565485)",39.68,32.53,12.57,34.18,63.4,25.43,17.33,5.5,21.93,41.47
"(1.3504417180000001, 103.743212)",38.03,30.88,12.4,40.77,69.98,27.45,19.35,5.6,23.62,43.17
"(1.3510594269999998, 103.7477123)",37.0,29.87,12.75,41.43,70.65,25.92,17.82,3.78,22.98,42.53
"(1.3444898090000001, 103.7605172)",38.52,31.38,21.83,35.95,66.05,23.55,15.45,6.3,20.23,39.78
"(1.28745837, 103.83267579999999)",16.65,28.35,39.93,21.35,50.3,6.88,15.08,23.6,8.57,32.03
"(1.28728822, 103.831873)",15.25,26.95,41.33,22.75,48.9,5.82,14.0,22.53,7.5,30.95
"(1.271757071, 103.80956040000001)",15.22,17.78,34.58,24.42,48.87,13.53,12.97,21.35,14.92,36.18
"(1.288300791, 103.8271804)",13.02,23.47,34.18,27.72,46.67,6.98,13.7,22.15,8.65,32.13
"(1.276915948, 103.82181870000001)",16.15,26.83,38.33,26.67,49.8,11.98,14.65,23.05,13.33,34.43
"(1.288001696, 103.8316146)",16.32,28.02,40.38,21.8,49.97,6.48,14.67,23.18,8.2,31.65
"(1.273131053, 103.8216629)",17.2,33.58,45.2,29.4,50.85,11.12,13.0,21.4,12.67,32.8
"(1.2743619640000001, 103.822184)",16.35,27.18,38.8,27.43,50.0,9.52,11.4,19.8,11.03,31.17
"(1.277008235, 103.8280562)",18.67,35.35,44.3,36.22,50.95,7.72,13.35,21.73,11.17,32.68
"(1.280189419, 103.82817840000001)",16.93,30.73,35.57,24.98,47.03,6.33,11.63,20.03,10.52,32.17
"(1.287669769, 103.82820290000001)",11.33,20.98,32.12,26.03,44.98,6.7,12.97,21.37,8.7,32.17
"(1.274831282, 103.8109414)",23.48,25.02,49.78,31.88,56.55,12.05,14.0,22.38,13.42,34.68
"(1.2757050079999999, 103.8120071)",24.12,27.43,43.65,37.08,57.77,12.18,13.95,22.33,13.53,34.8
"(1.285134271, 103.82153220000001)",13.95,22.63,32.42,29.98,47.6,9.3,12.27,20.98,10.67,31.93
"(1.271408833, 103.8108875)",16.48,19.05,35.85,25.68,50.13,14.65,14.07,22.45,16.25,37.52
"(1.288525352, 103.82845859999999)",10.13,22.97,32.05,28.38,47.33,6.68,13.4,21.85,8.68,32.18
"(1.291297828, 103.8281531)",15.18,23.77,35.38,25.52,48.83,6.68,13.25,22.8,8.32,31.82
"(1.27396036, 103.8121495)",20.85,22.27,40.18,30.53,53.8,12.13,13.03,21.42,13.57,34.83
"(1.284587128, 103.8243603)",12.58,23.03,33.75,23.78,46.23,10.03,13.32,21.7,11.38,32.65
"(1.2864588190000001, 103.8042002)",22.88,25.17,34.98,30.62,55.52,12.85,9.12,18.28,13.38,35.53
"(1.273494356, 103.80722940000001)",21.92,24.48,47.78,29.88,55.57,13.07,12.52,20.92,14.47,35.73
"(1.28407985, 103.83052550000001)",14.07,23.47,34.18,30.0,47.72,7.82,13.98,22.38,9.48,32.93
"(1.2842058170000001, 103.8310634)",14.63,24.03,34.75,25.53,48.28,7.72,13.88,22.28,9.42,32.87
"(1.2896255490000001, 103.8291739)",16.4,23.37,34.98,26.73,50.05,5.8,12.3,22.03,7.43,30.93
"(1.2907179979999999, 103.8216252)",13.02,21.62,32.72,29.12,46.67,9.93,13.23,22.75,10.83,34.12
"(1.276080724, 103.8208395)",15.38,39.0,45.08,30.02,49.03,11.17,13.83,22.23,12.37,33.47
"(1.289426079, 103.8222768)",12.28,24.7,35.8,29.88,45.93,8.28,11.47,21.1,8.77,32.05
"(1.275352014, 103.8269502)",18.65,29.27,40.6,36.27,52.08,10.7,12.58,20.98,12.23,32.37
"(1.273357314, 103.8253458)",16.73,27.42,38.92,32.83,50.38,10.12,12.35,20.75,12.0,32.13
"(1.2811530309999999, 103.8288562)",19.07,30.77,37.78,27.2,49.25,7.43,12.4,20.78,10.08,31.73
"(1.280649504, 103.8107509)",22.35,29.45,38.12,36.98,56.0,12.13,10.7,19.1,13.48,34.75
"(1.288633659, 103.8096439)",20.45,29.55,40.05,34.97,54.1,11.98,10.5,19.67,12.88,34.97
"(1.291698335, 103.82733449999999)",18.87,23.47,37.05,23.6,49.15,7.33,12.55,21.97,7.92,32.47
"(1.279256199, 103.82720929999999)",18.17,32.9,36.8,26.22,48.27,9.4,12.45,20.83,10.53,31.8
"(1.27368174, 103.80657940000002)",23.2,24.8,44.8,31.17,56.85,13.52,12.98,21.37,14.93,36.22
"(1.282218691, 103.8245363)",14.63,26.33,34.37,25.28,46.53,7.38,13.45,21.83,10.05,32.87
"(1.288053157, 103.81527709999999)",12.32,17.45,28.83,28.42,45.97,11.02,12.33,22.05,11.48,34.2
"(1.288381067, 103.8173911)",11.07,16.2,27.58,27.17,44.72,11.23,12.53,22.25,11.25,33.95
"(1.290138585, 103.82845329999999)",14.78,23.13,34.62,25.12,48.43,5.75,11.73,21.47,7.2,30.9
"(1.287277396, 103.8109636)",20.53,27.97,38.73,36.62,54.18,11.6,10.12,19.28,12.17,34.23
"(1.287693947, 103.8089335)",22.97,27.32,37.23,36.62,56.62,11.37,9.88,19.07,12.2,34.28
"(1.287077496, 103.81270579999999)",17.83,25.27,36.8,33.8,51.48,11.63,10.67,19.83,12.17,34.78
"(1.274636589, 103.8096328)",20.97,23.53,44.68,28.93,54.62,12.2,12.75,21.15,13.6,34.87
"(1.2906598059999999, 103.8326083)",19.07,25.43,37.05,16.68,48.28,5.72,14.03,22.43,7.37,30.87
"(1.292075251, 103.82858409999999)",15.57,24.15,35.77,25.9,49.22,7.88,13.1,22.52,8.47,33.03
"(1.3749411009999999, 103.7748564)",45.45,41.28,34.53,45.82,67.48,28.82,24.52,15.58,21.43,40.98
"(1.377566635, 103.77066059999999)",37.62,39.1,32.85,44.9,65.3,27.62,23.32,14.97,20.27,39.8
"(1.381002047, 103.77405470000001)",47.18,37.75,36.12,33.85,63.95,28.48,24.17,16.32,21.1,40.65
"(1.388043942, 103.7710676)",54.92,39.3,37.82,35.4,65.5,29.98,25.68,17.02,22.42,41.95
"(1.387033455, 103.76812070000001)",51.8,44.63,36.5,38.08,69.6,31.03,26.73,16.75,23.67,43.2
"(1.3860210609999999, 103.7628543)",38.07,39.55,34.95,34.77,65.75,32.13,27.22,16.3,24.73,44.28
